 	sicuramente	stanno	ancora	svegli	</S>
a17	0.3868310988	0.202806795728	0.186849953306	0.201693226068	0.0218188860596
a24	0.396897726	0.488522224	0.07732685948	0.02025868694	0.016994507268
a28	0.0459544918	0.4249474384	0.0963058116	0.3756276227	0.0571645945384
a37	0.17468843	0.41989301	0.0621199945	0.329242499294	0.014056063792
a18	0.1817210828	0.335343916	0.278818915078	0.187372028577	0.01674406912
a39	0.32345548344	0.245993252	0.34684882168	0.0630528068	0.02064956916
a31	0.35235899334	0.187476652	0.33421250752	0.0770424148	0.048909469
a39	0.1913549894	0.287355902	0.2834485686	0.1388698392	0.0989706822
a31	0.4200470967	0.103226837	0.21474264236	0.05484133128	0.207142096196
a46	0.32019145174	0.1953595008	0.212414258	0.11336667	0.1586681418
a31	0.3618577182	0.1251016206	0.2440995472	0.0551656428	0.21377547216
a18	0.17607652612	0.1934731512	0.330672698	0.1982852228	0.1014923938
a31	0.3433116346	0.126141952	0.256982994	0.1034563212	0.1701070952
a39	0.2808215646	0.1109666054	0.298205238	0.2025511816	0.1074553936
a31	0.250345612	0.17016183	0.239257472	0.155701792	0.1845333094
a41	0.233899692	0.1155010036	0.277252112	0.212201994	0.1611452034
a39	0.304098374	0.1522427764	0.184272668	0.18318113	0.176205008
a28	0.244016926	0.1362016152	0.22080098	0.2268699	0.1721105728
a20	0.241594644	0.097425154	0.244240646	0.256715446	0.160024098
a31	0.330778875	0.1268893124	0.168461628	0.232141032	0.1417291392
a39	0.257172186	0.220597828	0.26062411	0.155366182	0.1062396932
a35	0.404909644	0.130391867	0.144785266	0.217354564	0.102558662
a31	0.419126	0.1387442088	0.153777702	0.18120005	0.1071520196
a11	0.2155456256	0.228462556	0.244845498	0.187069012	0.12407727
a18	0.363183562	0.135614144	0.154993936	0.2368616672	0.109346708
a24	0.371315346	0.150000616	0.18506216	0.195423236	0.09819864
a31	0.43968643	0.1265476152	0.163980108	0.159980892	0.109804922
a18	0.2129298182	0.2071078428	0.24568921	0.191564618	0.142708486
a31	0.364552934	0.145076502	0.152524892	0.20367832	0.134167358
a18	0.204069566	0.1630404872	0.264263068	0.183346334	0.185280538
a15	0.33971348	0.152996292	0.156543022	0.227469292	0.123277914
a8	0.3260802	0.153734668	0.180642318	0.209675502	0.1298673196
a39	0.22828483	0.174205398	0.240648108	0.240390514	0.11647119
a31	0.242570604	0.163281566	0.222441266	0.242645868	0.129060702
</S>	0.223328584	0.181328861	0.227893038	0.189688126	0.177761418
