 	non	ha	da	mangiare	</S>
a31	0.133271	0.110559	0.211581	0.282487	0.262102
a20	0.201077	0.22281	0.247383	0.229347	0.0993827
a31	0.0433184	0.0795115	0.289388	0.388438	0.199345
a41	0.0216561	0.0373515	0.243357	0.461568	0.236067
a10	0.0238058	0.0427527	0.250532	0.436276	0.246633
a31	0.0191814	0.0350954	0.221573	0.433562	0.290589
a15	0.00814512	0.0132625	0.153652	0.513045	0.311895
a31	0.0413954	0.0909908	0.273214	0.337839	0.256561
a39	0.00484438	0.00639227	0.0685546	0.508246	0.411963
a37	0.00982394	0.0147424	0.176374	0.462178	0.336882
</S>	0.00468264	0.00568184	0.107102	0.500414	0.38212
