 	è	possibile	che	è	entrato	da	qui	</S>
a13	0.00490882	0.00100338	0.0071984	0.0162568	0.237618	0.349629	0.260258	0.123127
a31	0.0215797	0.011536	0.0458974	0.0830908	0.186905	0.255094	0.254984	0.140913
a15	0.00686918	0.00250956	0.00606942	0.0105697	0.230452	0.2662	0.303247	0.174083
a20	0.00626593	0.00226714	0.00624006	0.0111508	0.20425	0.25344	0.305926	0.21046
a11	0.0076229	0.0025614	0.00743764	0.0146903	0.192969	0.209239	0.299947	0.265533
a31	0.0103314	0.00359082	0.011293	0.02364	0.187433	0.188017	0.285663	0.290032
a39	0.00353599	0.00131576	0.00308391	0.00533737	0.152799	0.210344	0.322656	0.300928
a46	0.0140044	0.00482706	0.0233523	0.053222	0.22135	0.210385	0.255803	0.217057
a18	0.0150561	0.0061134	0.0270299	0.061947	0.20189	0.195571	0.247318	0.245074
a31	0.0118576	0.00288399	0.0154281	0.0391141	0.197178	0.220205	0.266019	0.247313
a13	0.000486493	0.000183668	0.000439657	0.000926448	0.0912827	0.219209	0.362055	0.325417
a31	0.00377312	0.000752424	0.00498651	0.0164049	0.214286	0.282286	0.275143	0.202367
a46	0.000187633	0.000132818	0.000157945	0.000286923	0.0242985	0.136973	0.379796	0.458168
a31	0.00212935	0.000558881	0.00220589	0.0050233	0.165754	0.308814	0.298749	0.216766
</S>	0.000161254	0.000161399	0.000137787	0.000279314	0.007159	0.0680887	0.346846	0.577166
