 	voglio	che	Maria	venga	domani	</S>
a31	0.149638	0.105444	0.113558	0.166788	0.22689	0.237683
a35	0.297829	0.143851	0.353767	0.14017	0.0486248	0.0157578
a31	0.0874053	0.0749654	0.215818	0.275741	0.241213	0.104857
a37	0.0941419	0.0415912	0.219641	0.333043	0.241505	0.0700777
a31	0.0783176	0.043701	0.190513	0.310627	0.271876	0.104966
a11	0.0741524	0.025908	0.15147	0.315194	0.315246	0.118029
a31	0.103176	0.0570056	0.236929	0.296965	0.219708	0.086216
a20	0.0939772	0.0251652	0.153132	0.282649	0.305508	0.139569
a13	0.135615	0.0533826	0.227775	0.263328	0.222264	0.0976355
a20	0.103191	0.087336	0.202594	0.231279	0.233015	0.142585
a31	0.115361	0.109005	0.190396	0.218311	0.220929	0.145999
a18	0.190547	0.0249402	0.10196	0.154369	0.305846	0.222339
a31	0.10713	0.105032	0.192517	0.211746	0.229646	0.153928
a36	0.268031	0.0166551	0.0459076	0.0681391	0.279727	0.321541
a31	0.162023	0.106467	0.164981	0.166	0.219906	0.180623
a20	0.213307	0.0140041	0.0341623	0.0616263	0.286483	0.390418
a31	0.207855	0.0806114	0.135543	0.144321	0.219722	0.211948
a20	0.163389	0.0134291	0.0306247	0.0600325	0.293795	0.438729
a31	0.220226	0.072084	0.122206	0.135643	0.221517	0.228325
</S>	0.148627	0.0142248	0.0302716	0.0588117	0.289838	0.458227
