 	l	anno	che	viene	devo	mangiare	molti	dolci	</S>
a8	0.0984419	0.108211	0.113977	0.115501	0.11836	0.119312	0.118078	0.11212	0.096
a31	0.0248964	0.0579408	0.106705	0.15696	0.20472	0.195111	0.125822	0.110423	0.0174207
a46	0.0323642	0.0800626	0.135874	0.185343	0.224863	0.211555	0.0770675	0.0453819	0.00748842
a8	0.102781	0.121125	0.127212	0.129366	0.131362	0.131076	0.120996	0.104585	0.0314979
a20	0.104218	0.114213	0.118513	0.119623	0.121507	0.121445	0.118608	0.111585	0.0702866
a31	0.105224	0.11864	0.122459	0.124031	0.125048	0.124896	0.119095	0.108412	0.0521949
a20	0.116416	0.136135	0.140816	0.143961	0.144915	0.143549	0.096438	0.0617227	0.0160462
a13	0.101397	0.124827	0.132306	0.135288	0.137546	0.13706	0.116048	0.0912516	0.0242765
a14	0.109103	0.118617	0.121914	0.123239	0.124358	0.12426	0.118696	0.1057	0.0541131
a0	0.10709	0.120312	0.124161	0.125865	0.126901	0.126789	0.119068	0.104699	0.0451148
a31	0.107794	0.116457	0.119705	0.120939	0.122108	0.122077	0.118303	0.107648	0.0649688
a37	0.121011	0.132697	0.135658	0.137551	0.138342	0.137543	0.101134	0.0712544	0.0248098
a35	0.11132	0.124011	0.128459	0.130205	0.131798	0.131597	0.115692	0.0936252	0.0332931
a17	0.106744	0.113958	0.117954	0.118951	0.120911	0.120949	0.117839	0.108528	0.074166
a31	0.108133	0.113816	0.116598	0.117379	0.118634	0.118662	0.116228	0.109122	0.0814259
a15	0.12029	0.130432	0.133395	0.13511	0.136053	0.135502	0.104068	0.0756626	0.0294883
a31	0.101974	0.109394	0.115545	0.116552	0.120221	0.12033	0.118173	0.109171	0.0886398
a46	0.123579	0.134793	0.138291	0.140115	0.141528	0.140331	0.0917314	0.0632194	0.0264129
a35	0.0987164	0.108678	0.118965	0.120388	0.127327	0.12748	0.122296	0.106252	0.0698983
a20	0.107127	0.111991	0.115272	0.115902	0.117651	0.117744	0.115787	0.10989	0.0886354
a31	0.108629	0.115381	0.118348	0.119315	0.120536	0.120653	0.116956	0.108119	0.0720628
a17	0.119831	0.130949	0.134489	0.136451	0.137686	0.137118	0.102099	0.072401	0.0289771
a20	0.105327	0.113235	0.11901	0.120102	0.123366	0.12348	0.118933	0.107162	0.0693854
a8	0.109306	0.115616	0.1188	0.119668	0.121126	0.121252	0.116895	0.107792	0.0695441
a23	0.0987927	0.107048	0.114073	0.115263	0.119511	0.119654	0.118082	0.108526	0.0990497
a46	0.101287	0.106943	0.112518	0.113258	0.116733	0.116867	0.115987	0.109846	0.10656
a8	0.104567	0.109516	0.11345	0.114105	0.116351	0.11644	0.115313	0.109898	0.100359
a31	0.099735	0.107038	0.113382	0.11442	0.118268	0.118368	0.117051	0.108614	0.103124
a17	0.112588	0.119742	0.122393	0.12362	0.124566	0.124747	0.116014	0.101202	0.0551275
a31	0.103732	0.111325	0.116049	0.117172	0.11961	0.119672	0.117275	0.107993	0.0871718
a37	0.118421	0.126753	0.129856	0.131342	0.132553	0.132368	0.10793	0.0826974	0.0380794
a31	0.109483	0.117927	0.123036	0.124257	0.126921	0.126911	0.117269	0.10072	0.0534749
a30	0.120892	0.131786	0.13647	0.138463	0.140672	0.139898	0.0949654	0.0655214	0.0313317
a21	0.110243	0.120777	0.128164	0.129642	0.13388	0.133752	0.112793	0.0886141	0.0421353
a10	0.0903708	0.102114	0.115327	0.117181	0.126635	0.126973	0.123642	0.106767	0.0909903
a39	0.105257	0.113482	0.117806	0.119072	0.12103	0.121272	0.117548	0.107297	0.0772351
a38	0.0990517	0.108453	0.115444	0.116834	0.120766	0.121033	0.118806	0.108529	0.0910835
a41	0.0984921	0.106518	0.113643	0.114777	0.119105	0.119345	0.117882	0.109199	0.101038
a18	0.105768	0.112946	0.11702	0.118083	0.120055	0.120206	0.117171	0.108156	0.0805941
a31	0.102755	0.112062	0.117392	0.118828	0.12142	0.121597	0.11841	0.107286	0.0802499
a21	0.111694	0.121648	0.125634	0.127402	0.128903	0.129149	0.115049	0.0942953	0.0462253
a20	0.0949523	0.104781	0.114834	0.116263	0.122924	0.123224	0.120793	0.108538	0.0936905
a31	0.10249	0.110545	0.116535	0.1177	0.121038	0.121316	0.118307	0.108592	0.0834767
a28	0.112476	0.124792	0.130536	0.132743	0.135275	0.135418	0.109451	0.0816832	0.0376257
a31	0.100218	0.112126	0.121714	0.123515	0.12925	0.12957	0.121093	0.102533	0.0599824
a17	0.112177	0.128669	0.13791	0.141007	0.145861	0.145521	0.0950994	0.0629045	0.0308508
a20	0.0777519	0.0936693	0.117206	0.120417	0.142035	0.142843	0.133848	0.100509	0.0717201
a31	0.0919169	0.10514	0.118119	0.1202	0.128765	0.129459	0.124096	0.1065	0.0758055
a37	0.0996935	0.122199	0.137194	0.141618	0.150052	0.150672	0.101873	0.0652201	0.0314792
</S>	0.0884295	0.107086	0.127446	0.130846	0.146171	0.14688	0.12315	0.0866486	0.0433435
