 	forse	sono	usciti	</S>
a23	0.379128	0.162628	0.251148	0.207096
a31	0.425977	0.268561	0.246714	0.0587481
a23	0.721006	0.122361	0.0793744	0.0772585
a31	0.388251	0.169284	0.231589	0.210876
a10	0.67073	0.131339	0.107882	0.0900496
a37	0.412515	0.14842	0.182182	0.256883
a31	0.284346	0.123332	0.196315	0.396007
a37	0.370876	0.0632513	0.107188	0.458685
a31	0.270388	0.068768	0.178696	0.482148
a39	0.258621	0.0193487	0.0636918	0.658338
a31	0.407953	0.0288524	0.105095	0.4581
</S>	0.178163	0.0223665	0.0873661	0.712104
