 	voi	avete	mai	mangiato	il	pasticciotto	</S>
a8	0.0337047	0.149935	0.135045	0.140564	0.221277	0.082946	0.236528
a31	0.15239	0.173749	0.198052	0.201432	0.198928	0.068192	0.00725684
a21	0.155635	0.219752	0.259592	0.19386	0.161903	0.00669368	0.00256507
a37	0.118607	0.173783	0.187279	0.182276	0.206832	0.0787643	0.0524577
a8	0.126004	0.182698	0.201271	0.1924	0.212187	0.0645561	0.0208842
a31	0.107774	0.153277	0.162672	0.165771	0.184215	0.114431	0.11186
a13	0.138846	0.223255	0.239083	0.172186	0.194846	0.0181537	0.0136301
a20	0.10065	0.153818	0.168543	0.166146	0.199399	0.085286	0.126158
a3	0.0951509	0.151055	0.165905	0.163348	0.197382	0.0855833	0.141576
a31	0.0955298	0.149107	0.164006	0.15583	0.193587	0.0750437	0.166896
a29	0.120545	0.196428	0.20693	0.146004	0.191758	0.0313211	0.107013
a31	0.0915761	0.155378	0.170594	0.165302	0.201759	0.0792209	0.13617
a3	0.112529	0.215551	0.224463	0.143667	0.186704	0.022951	0.0941338
a31	0.0766871	0.157123	0.172015	0.175177	0.219165	0.0744122	0.125421
a24	0.0840748	0.232305	0.241093	0.144082	0.184949	0.0169315	0.096565
a31	0.0769616	0.188874	0.202921	0.197748	0.233958	0.0439542	0.0555843
a39	0.0538353	0.255655	0.251564	0.133453	0.17712	0.0107583	0.117614
a31	0.041544	0.119889	0.131499	0.165839	0.288092	0.0708166	0.182321
a33	0.0545909	0.366883	0.281104	0.0912417	0.117243	0.00348542	0.0854532
a31	0.0505382	0.131164	0.146634	0.17192	0.261529	0.0750938	0.163121
a23	0.0818744	0.503209	0.259285	0.0421899	0.0558466	0.00141392	0.0561803
</S>	0.0704446	0.161349	0.173655	0.173996	0.241508	0.0447124	0.134334
