 	il	cibo	ee	vuole	mangiato	subito	e	presto	</S>
a8	0.120632	0.136213	0.10216	0.136005	0.13125	0.119575	0.0853117	0.0898895	0.0789643
a31	0.0502997	0.12514	0.110821	0.179863	0.186904	0.172247	0.134614	0.0314243	0.00868717
a20	0.0646154	0.139688	0.124922	0.225212	0.216277	0.159176	0.0558285	0.00990426	0.00437569
a29	0.130005	0.10515	0.0868246	0.145557	0.161363	0.168077	0.125599	0.0592525	0.0181714
a37	0.127326	0.0954186	0.0791184	0.135624	0.153645	0.165836	0.131861	0.083609	0.0275618
a8	0.130233	0.0876512	0.0709805	0.127617	0.150124	0.166866	0.131892	0.0981603	0.036476
a20	0.118908	0.086396	0.0611885	0.113305	0.12825	0.133696	0.127622	0.131041	0.0995925
a31	0.119458	0.0888892	0.0741623	0.11929	0.132707	0.139799	0.129648	0.119708	0.0763381
a29	0.148564	0.0931671	0.0747339	0.13305	0.15543	0.178024	0.105328	0.0793146	0.0323881
a37	0.129506	0.0909617	0.0732305	0.128465	0.147175	0.157327	0.132295	0.09755	0.0434897
a29	0.125361	0.0824735	0.0651363	0.120322	0.143532	0.158267	0.133849	0.11378	0.0572791
a31	0.121433	0.0805039	0.0648896	0.117724	0.139922	0.153755	0.134312	0.120751	0.0667109
a20	0.151919	0.0989485	0.0797745	0.140289	0.155786	0.164824	0.100323	0.0720613	0.0360734
a31	0.13465	0.106669	0.0765546	0.131383	0.141966	0.143292	0.125191	0.0921712	0.0481237
a37	0.168023	0.113825	0.0886278	0.153774	0.158643	0.152729	0.0740208	0.0587996	0.0315577
a46	0.149493	0.113659	0.0700031	0.139797	0.151788	0.148745	0.112157	0.0743729	0.0399856
a31	0.133692	0.105306	0.0430281	0.111558	0.124916	0.120745	0.11623	0.134244	0.110281
a0	0.167507	0.126922	0.092954	0.158664	0.156055	0.141327	0.0683753	0.0544997	0.0336956
a31	0.140272	0.105712	0.039769	0.116539	0.133831	0.129848	0.119481	0.127264	0.0872849
a1	0.177098	0.135011	0.0872422	0.166327	0.158799	0.136204	0.0558526	0.0511045	0.0323605
a13	0.149227	0.120622	0.0358883	0.116242	0.131766	0.122369	0.111217	0.125587	0.0870818
a39	0.125055	0.102748	0.0525399	0.11998	0.130599	0.129668	0.120018	0.124194	0.0951977
a18	0.118928	0.0921576	0.0418518	0.112633	0.127588	0.128477	0.122587	0.138038	0.117741
a8	0.119448	0.089283	0.0496707	0.117064	0.132253	0.136303	0.125139	0.131871	0.0989671
a28	0.125625	0.0934729	0.0339822	0.105075	0.122933	0.120993	0.11798	0.14702	0.132919
a31	0.118383	0.092435	0.0542224	0.116715	0.128743	0.131393	0.123254	0.129748	0.105107
a8	0.133638	0.100287	0.0635712	0.138877	0.146803	0.150443	0.107335	0.099348	0.0596975
a37	0.139458	0.117614	0.0309506	0.101324	0.115341	0.105975	0.105284	0.147171	0.136883
a31	0.124406	0.104789	0.045944	0.120164	0.130272	0.128375	0.117702	0.12854	0.0998082
a21	0.142252	0.115017	0.0509495	0.154969	0.15772	0.152218	0.0879438	0.0860468	0.0528833
a31	0.142535	0.127972	0.0251842	0.0989489	0.114608	0.103388	0.100955	0.152411	0.133998
a20	0.160926	0.156129	0.0397556	0.186441	0.168806	0.135642	0.0470392	0.0627852	0.0424762
</S>	0.158083	0.149591	0.0236835	0.11451	0.132674	0.116668	0.0943487	0.126208	0.0842349
