 	l	ho	sentito	che	veniva	</S>
a41	0.191398	0.090472	0.00392273	0.00299984	0.117626	0.593582
a31	0.165862	0.0974125	0.0108665	0.0362677	0.20006	0.489531
a24	0.0855908	0.0277302	0.00191966	0.00199036	0.178013	0.704756
a15	0.0672077	0.0156792	0.000269275	0.000323842	0.231824	0.684696
a28	0.0934648	0.0250391	0.000633364	0.00103004	0.219258	0.660575
a0	0.0816479	0.0304038	0.000826538	0.00626133	0.443827	0.437033
a31	0.112348	0.0539137	0.00136935	0.0225223	0.417548	0.392298
a11	0.0548543	0.0143021	0.00042358	0.00229376	0.49462	0.433506
a31	0.141246	0.0612169	0.000485598	0.00721856	0.381977	0.407856
a39	0.0361368	0.00559771	0.000142952	0.000629219	0.446133	0.51136
a20	0.0453777	0.0127269	0.00015909	0.000925512	0.409305	0.531506
</S>	0.0287096	0.00600691	6.08905e-05	0.000276922	0.390928	0.574018
