 	non	so	cosa	scrive	</S>
a46	0.101973	0.0130132	0.0437778	0.110859	0.730377
a8	0.504437	0.128597	0.118368	0.141707	0.106892
a31	0.294963	0.0724432	0.194598	0.231149	0.206847
a13	0.32194	0.0187434	0.108706	0.341277	0.209334
a31	0.139519	0.0194084	0.183984	0.322754	0.334335
a28	0.213528	0.0123522	0.111537	0.37096	0.291623
a31	0.122459	0.0102819	0.135553	0.336371	0.395335
a37	0.112381	0.00416823	0.0748047	0.342664	0.465982
a31	0.0978495	0.00400544	0.0880517	0.302385	0.507709
a11	0.0480061	0.000610758	0.0209279	0.193128	0.737327
a31	0.0696265	0.000415125	0.0209764	0.212302	0.69668
a20	0.0174905	9.38346e-05	0.00241902	0.0588553	0.921141
a31	0.0131334	5.83467e-05	0.000742378	0.0466023	0.939464
</S>	0.0266625	0.000227975	0.00184798	0.0589756	0.912286
