 	sto	e	cucino	</S>
a31	0.026874	0.110441	0.312904	0.549781
a20	0.226943	0.0546631	0.213106	0.505287
a31	0.242404	0.166588	0.219412	0.371597
a37	0.196082	0.188005	0.246278	0.369634
a18	0.0840234	0.124038	0.299117	0.492822
a31	0.0420518	0.0852735	0.29064	0.582035
a20	0.0164128	0.0529335	0.306512	0.624142
a31	0.0124575	0.0461375	0.21184	0.729565
a28	0.00356444	0.0190295	0.175673	0.801733
a33	0.00600597	0.0305393	0.124273	0.839182
a31	0.00289886	0.0121434	0.0973563	0.887601
</S>	0.0076437	0.0319965	0.127253	0.833107
