 	vengono	vestiti	dai	genitori	</S>
a31	0.237628	0.178518	0.194897	0.25488	0.134077
a46	0.283363	0.201306	0.268372	0.197113	0.0498452
a18	0.233325	0.127107	0.242185	0.247732	0.149651
a31	0.236915	0.144757	0.244037	0.242878	0.131414
a11	0.258164	0.0624831	0.284998	0.29499	0.0993647
a31	0.251724	0.149699	0.257395	0.239915	0.101267
a39	0.258996	0.0653569	0.280621	0.289987	0.10504
a31	0.238008	0.176444	0.244982	0.233362	0.107204
a35	0.267541	0.0715225	0.252147	0.290649	0.118141
a31	0.22601	0.166567	0.238082	0.2471	0.122241
a18	0.251967	0.0637432	0.20835	0.332077	0.143864
a0	0.239031	0.152898	0.231347	0.267607	0.109117
a31	0.199905	0.177439	0.218548	0.262098	0.14201
a37	0.207086	0.0491122	0.172398	0.393694	0.177709
a20	0.196679	0.139494	0.246423	0.295498	0.121905
a31	0.169815	0.143094	0.239013	0.304416	0.143661
a41	0.121304	0.0242221	0.133872	0.509732	0.21087
a20	0.140128	0.114368	0.240718	0.364115	0.140671
a31	0.132115	0.102264	0.227332	0.370268	0.16802
a20	0.0673805	0.015664	0.100104	0.592504	0.224347
a39	0.122054	0.0912789	0.226788	0.408939	0.15094
a46	0.104248	0.0861946	0.207519	0.398512	0.203526
a41	0.0973988	0.0912108	0.205158	0.37274	0.233493
</S>	0.100662	0.0610561	0.204847	0.405034	0.228401
