 	Marika	tu	hai	mangiato	</S>
a8	0.466238	0.0834968	0.0713788	0.162721	0.216165
a31	0.238397	0.165757	0.343007	0.164171	0.0886687
a24	0.504155	0.0991504	0.175621	0.109816	0.111257
a31	0.303509	0.0233466	0.103573	0.319111	0.25046
a28	0.333741	0.0237487	0.0758848	0.281455	0.285171
a31	0.302757	0.0254076	0.0943656	0.31064	0.266829
a3	0.422702	0.0139716	0.030714	0.193484	0.339128
a18	0.568912	0.0139877	0.0284585	0.155796	0.232846
a31	0.340504	0.0160707	0.0457983	0.23289	0.364737
a23	0.789357	0.00513016	0.00863354	0.0579577	0.138922
a31	0.562992	0.0158178	0.037763	0.142558	0.240869
a20	0.652935	0.00623111	0.0129199	0.0933502	0.234563
</S>	0.611522	0.00586701	0.0171475	0.100766	0.264698
