 	non	deve	magniare	la	sera	</S>
a20	0.02503	0.0956195	0.157751	0.159119	0.251514	0.310967
a31	0.0767132	0.108428	0.183284	0.225564	0.228935	0.177076
a18	0.0101054	0.089757	0.334353	0.179874	0.16651	0.219401
a37	0.00428103	0.0556486	0.332914	0.175568	0.16823	0.263359
a18	0.00469201	0.070995	0.297005	0.176715	0.175571	0.275022
a31	0.00897469	0.0998717	0.260252	0.189566	0.18618	0.255157
a13	0.00076314	0.0190259	0.245719	0.168118	0.208354	0.358019
a31	0.00453746	0.0675827	0.212062	0.175696	0.244892	0.295229
a17	0.000221912	0.00298781	0.0811548	0.0937024	0.223968	0.597965
</S>	0.00112941	0.0117294	0.139713	0.106768	0.263981	0.476679
