 	non	aveva	cosa	a	fare	</S>
a31	0.153988	0.141338	0.177823	0.181081	0.178673	0.167096
a18	0.0581627	0.111016	0.230031	0.327461	0.180417	0.092912
a24	0.0611762	0.130992	0.187801	0.260428	0.212219	0.147385
a20	0.0714548	0.144327	0.19763	0.263786	0.186439	0.136363
a31	0.066334	0.134171	0.174576	0.236169	0.215774	0.172977
a18	0.0495281	0.0931774	0.156877	0.279582	0.204653	0.216183
a31	0.103802	0.162738	0.206159	0.230005	0.17225	0.125047
a17	0.0661473	0.0730933	0.13697	0.22432	0.188247	0.311221
a20	0.102266	0.122939	0.220169	0.23415	0.176	0.144476
a31	0.116753	0.11781	0.214228	0.229384	0.17035	0.151476
</S>	0.0456937	0.0412865	0.0722137	0.146167	0.154917	0.539722
