 	ancora	non	mi	sono	vestito	</S>
a8	0.244136	0.116434	0.0419761	0.047104	0.27419	0.27616
a31	0.200678	0.201015	0.185377	0.17545	0.126838	0.110641
a10	0.306258	0.163526	0.0479935	0.131746	0.254196	0.0962808
a31	0.135145	0.0868289	0.0412236	0.147125	0.394538	0.195139
a18	0.153705	0.0695902	0.0204125	0.0907103	0.480119	0.185464
a31	0.11281	0.0697993	0.0319913	0.121771	0.420841	0.242788
a20	0.119474	0.0383503	0.00847683	0.0415971	0.548723	0.243378
a31	0.169154	0.0696316	0.0150428	0.0740283	0.463753	0.208391
a13	0.140627	0.0307886	0.00456924	0.0233184	0.548422	0.252275
a35	0.246887	0.0695695	0.00838432	0.0348733	0.424217	0.216069
a39	0.147229	0.0744666	0.029583	0.0544317	0.389789	0.3045
a46	0.149773	0.0823102	0.0405802	0.055065	0.362866	0.309406
a31	0.102225	0.0728423	0.0630778	0.067149	0.361178	0.333528
a20	0.419322	0.0202214	0.0019746	0.00332487	0.348801	0.206357
a31	0.119196	0.059343	0.0187611	0.0272499	0.46528	0.31017
a39	0.357503	0.00986802	0.00202524	0.00230998	0.388562	0.239732
a31	0.186702	0.0826162	0.0212679	0.0275544	0.423082	0.258778
</S>	0.248134	0.00857917	0.00311448	0.00273782	0.454396	0.283039
