 	che	non	li	aspetiamo	</S>
a20	0.120985	0.163913	0.217186	0.256502	0.241415
a8	0.254872	0.294807	0.184096	0.149716	0.11651
a7	0.176737	0.296332	0.228808	0.174262	0.123861
a35	0.0564799	0.16967	0.314286	0.256781	0.202783
a46	0.043104	0.143579	0.311035	0.273688	0.228594
a31	0.0418596	0.130744	0.289843	0.278524	0.25903
a11	0.012825	0.049177	0.300175	0.315038	0.322785
a31	0.0672864	0.165556	0.270154	0.257483	0.239521
a0	0.00905831	0.0370892	0.253807	0.326527	0.373519
a31	0.0902637	0.17743	0.252334	0.255841	0.224131
a30	0.00552351	0.0147239	0.100912	0.292903	0.585938
a0	0.0107844	0.0329698	0.156195	0.340363	0.459689
a31	0.0188067	0.0415153	0.137182	0.368173	0.434323
</S>	0.0029926	0.0080725	0.0630114	0.235544	0.69038
