 	devo	pulire	l	albero	</S>
a39	0.252138	0.263533	0.197545	0.178501	0.108282
a31	0.258429	0.360501	0.231671	0.116481	0.0329169
a35	0.268323	0.435821	0.133561	0.125266	0.0370302
a31	0.237456	0.282176	0.226427	0.181684	0.0722575
a20	0.260823	0.435774	0.11898	0.136205	0.0482174
a31	0.273892	0.341052	0.19983	0.133312	0.0519139
a37	0.246892	0.436217	0.122058	0.141838	0.0529952
a1	0.276432	0.358325	0.181454	0.128831	0.0549572
a20	0.246749	0.272045	0.225116	0.174778	0.0813128
a31	0.251881	0.27807	0.228185	0.164286	0.0775775
a39	0.246064	0.428906	0.121412	0.140111	0.0635069
a10	0.260218	0.291999	0.223327	0.150169	0.0742879
a29	0.2714	0.321546	0.203722	0.132971	0.0703605
a46	0.235454	0.298703	0.226356	0.161259	0.0782275
a31	0.201683	0.244904	0.21672	0.20692	0.129772
a20	0.221393	0.450977	0.0901065	0.148363	0.0891601
a13	0.253885	0.340124	0.197425	0.131269	0.0772973
a20	0.224117	0.316557	0.211316	0.160419	0.0875909
a31	0.210522	0.318709	0.217906	0.163662	0.0892011
a11	0.125489	0.495991	0.0657686	0.189766	0.122986
a17	0.223489	0.43423	0.143687	0.117228	0.0813666
a20	0.177915	0.38853	0.176658	0.162978	0.0939189
</S>	0.164822	0.384366	0.191164	0.16237	0.0972773
