 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	0.109996	0.116698	0.118871	0.119195	0.120189	0.113241	0.113071	0.102609	0.0861296
a13	0.0854492	0.160475	0.153269	0.163359	0.16468	0.140038	0.0909478	0.0285355	0.0132453
a0	0.127599	0.121995	0.102138	0.145674	0.148511	0.139257	0.121057	0.0645517	0.0292187
a31	0.135848	0.090003	0.0681603	0.137813	0.145332	0.137979	0.132571	0.0963893	0.0559035
a18	0.186111	0.0984211	0.0574194	0.180017	0.204986	0.113838	0.0873268	0.0493721	0.0225081
a31	0.143673	0.072993	0.0537308	0.14269	0.162406	0.144009	0.138309	0.0913316	0.0508579
a28	0.190137	0.0932708	0.0520093	0.178188	0.210349	0.104865	0.0858822	0.0567949	0.0285031
a20	0.162252	0.0862685	0.0599673	0.160934	0.180474	0.138909	0.112707	0.0633171	0.035171
a31	0.146483	0.0785166	0.057104	0.145541	0.16199	0.142318	0.132438	0.0848958	0.0507119
a7	0.188622	0.0939485	0.0552721	0.178498	0.206119	0.104237	0.0838553	0.0577859	0.0316621
a38	0.160995	0.0860612	0.0607327	0.159802	0.178347	0.138451	0.112662	0.0647732	0.0381772
a24	0.126313	0.0716959	0.0541306	0.125726	0.137955	0.132093	0.133693	0.121761	0.0966327
a46	0.140592	0.0749544	0.0563225	0.140482	0.155902	0.141192	0.134943	0.0940398	0.0615727
a31	0.124476	0.0646163	0.0496637	0.123839	0.14001	0.13322	0.136687	0.126493	0.100995
a38	0.170967	0.101576	0.0699283	0.168185	0.179858	0.118445	0.0900479	0.0587369	0.0422552
a31	0.124604	0.0770612	0.0580103	0.124003	0.135108	0.130652	0.130093	0.120591	0.0998771
a13	0.181502	0.11985	0.080943	0.177247	0.183594	0.0931732	0.071067	0.0537813	0.0388426
a31	0.136771	0.0836848	0.0625267	0.136306	0.148547	0.138409	0.130199	0.0959627	0.067593
a8	0.186317	0.127545	0.0854953	0.181625	0.185247	0.0793732	0.0638041	0.0529259	0.0376674
a20	0.12699	0.103011	0.0742747	0.124587	0.141822	0.133349	0.120946	0.100755	0.0742646
a31	0.129965	0.101657	0.0813048	0.130941	0.137025	0.130552	0.122979	0.0951892	0.0703867
a15	0.17947	0.120956	0.0838235	0.181702	0.187828	0.0838556	0.0661584	0.0553728	0.0408341
a31	0.121802	0.113147	0.081301	0.119344	0.140562	0.131589	0.116133	0.100936	0.0751873
a20	0.185136	0.183705	0.130706	0.181813	0.167586	0.0344709	0.0392509	0.0464488	0.030884
a39	0.138037	0.140093	0.103476	0.136202	0.159736	0.125813	0.0894339	0.0606185	0.0465906
a31	0.117368	0.120735	0.0892521	0.117698	0.140924	0.130513	0.112939	0.0981707	0.0723995
a8	0.167882	0.183988	0.134732	0.185951	0.176493	0.0328074	0.037262	0.0489821	0.031904
a31	0.104195	0.171688	0.0877431	0.0979326	0.161456	0.131226	0.0902815	0.0916047	0.0638725
a37	0.162943	0.240526	0.152763	0.183961	0.159721	0.0140356	0.0207544	0.0419679	0.0233284
a20	0.128081	0.195325	0.11595	0.12453	0.182531	0.0978863	0.056181	0.055436	0.0440792
a8	0.107771	0.157786	0.105322	0.115504	0.165308	0.129623	0.0896973	0.0747865	0.054203
a20	0.0853026	0.153961	0.0768631	0.0869956	0.151656	0.129514	0.09323	0.125857	0.0966196
a31	0.093671	0.12555	0.100419	0.113953	0.148145	0.133549	0.109695	0.101704	0.0733138
</S>	0.085221	0.143078	0.146206	0.186934	0.220581	0.0514698	0.0462145	0.0727032	0.0475927
