 	lo	sentii	che	arrivò	</S>
a11	0.110811	0.190543	0.179949	0.344649	0.174047
a31	0.139454	0.23446	0.244084	0.27317	0.108832
a28	0.0361788	0.167535	0.179357	0.491631	0.125298
a37	0.0366333	0.188893	0.208397	0.420113	0.145964
a20	0.0297305	0.169433	0.200374	0.427165	0.173297
a31	0.037272	0.188895	0.217744	0.370487	0.185603
a1	0.0150638	0.0865951	0.10457	0.587674	0.206097
a0	0.0840569	0.227419	0.230196	0.303532	0.154795
a17	0.0949305	0.208947	0.22046	0.282948	0.192714
a31	0.108977	0.204272	0.215685	0.27181	0.199256
a0	0.015819	0.065854	0.0646832	0.577067	0.276577
a46	0.105818	0.193395	0.20778	0.318588	0.174419
a31	0.102664	0.161666	0.192898	0.310715	0.232058
a18	0.00810441	0.0220589	0.0208323	0.645529	0.303476
a31	0.062436	0.120692	0.140852	0.462321	0.213698
a39	0.00527109	0.0144134	0.0149311	0.690678	0.274706
a31	0.04252	0.0704623	0.0883143	0.570613	0.228091
a46	0.00589638	0.015667	0.0180147	0.70381	0.256612
</S>	0.0415077	0.0619268	0.0707982	0.615574	0.210193
