 	sta	seduta	nel	giardino	</S>
a20	0.119876	0.284336	0.243962	0.237458	0.114368
a17	0.110972	0.294099	0.286672	0.249575	0.0586822
a20	0.0942011	0.261172	0.243129	0.254918	0.14658
a31	0.0850031	0.273345	0.253479	0.261792	0.126381
a17	0.019123	0.383417	0.267131	0.2587	0.0716293
a31	0.0900819	0.274868	0.253815	0.260064	0.121171
a46	0.0204727	0.41725	0.274687	0.215326	0.0722648
a31	0.120446	0.25754	0.24693	0.246277	0.128807
a20	0.0159775	0.498623	0.237386	0.17462	0.0733936
a31	0.104256	0.303111	0.274981	0.235212	0.082439
a20	0.0136615	0.481942	0.243666	0.182741	0.0779893
a18	0.0988138	0.31665	0.279649	0.225099	0.079788
a46	0.112946	0.28166	0.261987	0.244726	0.0986802
a20	0.125515	0.243929	0.238463	0.237985	0.154109
a31	0.118026	0.271703	0.255616	0.244812	0.109843
a18	0.00868026	0.473324	0.233598	0.188899	0.095499
a31	0.0771807	0.313907	0.277615	0.242808	0.0884896
a0	0.00314249	0.646887	0.129012	0.128722	0.0922362
a31	0.0466981	0.339746	0.287197	0.248494	0.0778653
a8	0.00224638	0.69506	0.0970995	0.115171	0.090423
a31	0.0406857	0.309364	0.294567	0.283549	0.0718332
a18	0.00208347	0.664246	0.100951	0.128593	0.104127
a31	0.0224744	0.395208	0.283261	0.230983	0.068074
a17	0.00181375	0.632883	0.104979	0.14291	0.117413
</S>	0.0262477	0.363412	0.2881	0.259811	0.0624295
