 	lo	ho	finito	di	fare	</S>
a8	0.195039	0.115326	0.17458	0.185413	0.172373	0.157268
a31	0.20253	0.19411	0.236462	0.212849	0.112086	0.0419634
a20	0.166265	0.0801199	0.384561	0.25636	0.073279	0.0394147
a24	0.0832452	0.0524805	0.315048	0.334198	0.141442	0.0735855
a18	0.0998533	0.0558216	0.318947	0.309924	0.133754	0.0816995
a31	0.0811528	0.0582471	0.254137	0.283492	0.191406	0.131565
a20	0.0917432	0.0329694	0.301447	0.312903	0.133901	0.127037
a10	0.119998	0.0789669	0.295218	0.278395	0.138518	0.0889048
a20	0.091895	0.0532255	0.269717	0.297976	0.169101	0.118085
a7	0.092689	0.0659798	0.247586	0.272885	0.189534	0.131326
a31	0.0808058	0.0509612	0.240612	0.283208	0.197871	0.146542
a20	0.106974	0.03024	0.280109	0.29693	0.140345	0.145402
a18	0.146889	0.0998298	0.254396	0.251305	0.144854	0.102726
a24	0.117167	0.0836919	0.216929	0.246468	0.192713	0.143031
a46	0.120238	0.0646036	0.241774	0.27445	0.172166	0.126768
a31	0.0877773	0.0679881	0.178243	0.22958	0.23007	0.206342
a33	0.298609	0.0228367	0.132265	0.138718	0.103565	0.304007
a8	0.136493	0.0930039	0.148252	0.199793	0.219169	0.203289
</S>	0.159003	0.0864052	0.1402	0.181997	0.206952	0.225443
