 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.134436	0.0830398	0.0635258	0.081832	0.179873	0.152266	0.157672	0.147356
a31	0.0717858	0.0704703	0.148636	0.174269	0.187619	0.1728	0.123827	0.0505925
a13	0.029716	0.0123587	0.0603625	0.191303	0.399804	0.201234	0.0794144	0.0258075
a20	0.0312718	0.0151985	0.0746544	0.185679	0.283605	0.189619	0.150124	0.0698494
a15	0.031164	0.0146491	0.0716208	0.17589	0.2675	0.184775	0.164258	0.0901435
a20	0.0379432	0.0235826	0.100257	0.163376	0.1989	0.163075	0.170401	0.142465
a31	0.0368902	0.0199699	0.0931017	0.166566	0.212438	0.172741	0.171223	0.12707
a39	0.0229572	0.0066915	0.0246411	0.121856	0.403171	0.193232	0.142771	0.0846804
a31	0.0487661	0.0363917	0.127424	0.173495	0.197439	0.175008	0.147274	0.0942016
a20	0.0286349	0.00515501	0.021708	0.0908721	0.447414	0.188031	0.127302	0.0908829
a31	0.0519269	0.0270755	0.106584	0.181116	0.260761	0.188327	0.114244	0.0699645
a7	0.0342469	0.00388107	0.0131217	0.0516008	0.505484	0.157303	0.125403	0.108959
a46	0.0818738	0.0217073	0.0555555	0.120722	0.354667	0.17096	0.107798	0.0867157
a39	0.0406975	0.0288377	0.051239	0.111296	0.269255	0.2049	0.16609	0.127685
a31	0.0787952	0.0438466	0.0563246	0.103293	0.251621	0.191373	0.155206	0.119541
a46	0.0670372	0.0030057	0.00549057	0.0189847	0.545352	0.0809786	0.10108	0.178071
a0	0.0605813	0.0302438	0.0346387	0.0788545	0.341656	0.201172	0.139969	0.112885
a27	0.0723407	0.0221027	0.0225719	0.0688745	0.332302	0.191617	0.152051	0.13814
a20	0.056513	0.025006	0.0248154	0.0728216	0.300751	0.195332	0.171536	0.153224
a0	0.0509672	0.0205158	0.0202106	0.0691623	0.315189	0.202495	0.175479	0.145981
a14	0.0397803	0.0191926	0.0192641	0.0686866	0.306716	0.200411	0.18423	0.161719
a0	0.0450616	0.0147283	0.0131926	0.0547478	0.33014	0.19749	0.183663	0.160976
a46	0.0366124	0.0177926	0.0167331	0.0643468	0.310185	0.19862	0.187296	0.168414
a20	0.0397996	0.0241054	0.023075	0.0710678	0.293213	0.193642	0.180329	0.174768
</S>	0.0377878	0.0138565	0.0113024	0.0512342	0.328681	0.192894	0.189045	0.175199
