 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
a20	0.126796	0.0976426	0.148686	0.126962	0.116955	0.149821	0.144306	0.0888321
a46	0.0431995	0.118825	0.200758	0.204184	0.0539205	0.137235	0.203562	0.038316
a39	0.125927	0.112407	0.139154	0.121003	0.127123	0.138085	0.138214	0.0980857
a31	0.124497	0.10789	0.139152	0.118186	0.128044	0.139065	0.139296	0.10387
a20	0.134206	0.0581323	0.217834	0.0899579	0.0982314	0.172972	0.174576	0.0540898
a31	0.13262	0.0985893	0.169978	0.117219	0.112391	0.153453	0.15471	0.0610401
a15	0.135257	0.0568594	0.220937	0.0888864	0.0963407	0.171886	0.173689	0.0561442
a11	0.125771	0.114204	0.148127	0.12641	0.120957	0.142104	0.142537	0.0798908
a31	0.132115	0.114672	0.150487	0.126932	0.117107	0.141394	0.142013	0.07528
a46	0.14659	0.0656643	0.226392	0.0967242	0.0898882	0.156231	0.158244	0.060267
a31	0.114272	0.112857	0.146109	0.129373	0.123548	0.143301	0.143635	0.0869047
a46	0.148495	0.0591163	0.249248	0.0898126	0.0857153	0.149125	0.14945	0.0690378
a31	0.102807	0.112785	0.150867	0.137784	0.120427	0.147122	0.147535	0.0806729
a15	0.133916	0.0448312	0.260795	0.0761154	0.0849991	0.161301	0.157931	0.0801108
a31	0.0988883	0.113053	0.160701	0.1457	0.110989	0.149796	0.150094	0.0707786
a20	0.120667	0.0367369	0.262108	0.0678784	0.0835115	0.174345	0.166856	0.0878971
a18	0.127876	0.120489	0.188136	0.139825	0.0885554	0.136469	0.137682	0.0609672
a46	0.119462	0.1176	0.162144	0.140052	0.105514	0.143978	0.14442	0.0668295
a31	0.0958912	0.109313	0.13913	0.134881	0.128979	0.143399	0.143236	0.105171
a15	0.130918	0.0444583	0.252197	0.0789004	0.080296	0.166137	0.162658	0.084436
a31	0.0758283	0.0962274	0.151067	0.146675	0.124028	0.159608	0.159113	0.0874538
a37	0.0955063	0.024716	0.261162	0.0551452	0.0736593	0.204188	0.185948	0.0996752
a35	0.104664	0.0972282	0.19706	0.140284	0.0909793	0.151056	0.150956	0.0677719
a31	0.0753701	0.0898943	0.153886	0.144632	0.123152	0.163498	0.162242	0.0873267
a46	0.0784647	0.0187463	0.25937	0.0485491	0.0670346	0.226163	0.199726	0.101946
a31	0.0493172	0.0593024	0.148358	0.148073	0.116925	0.196489	0.192971	0.0885654
a11	0.0373724	0.00949356	0.221801	0.0282669	0.0484364	0.322643	0.230128	0.101859
a31	0.0568383	0.0480975	0.204941	0.132583	0.0881399	0.198658	0.189132	0.0816096
a46	0.0250549	0.007104	0.196771	0.0228724	0.0417161	0.367805	0.240226	0.0984508
a20	0.0405255	0.0330736	0.138787	0.121374	0.0840221	0.2597	0.240425	0.0820921
</S>	0.047392	0.0346051	0.195592	0.119578	0.0876767	0.226488	0.207618	0.08105
