 	non	mi	aspetti	non	vengo	</S>
a33	0.154714	0.078861	0.0695867	0.147814	0.178849	0.370175
a31	0.173913	0.165663	0.222191	0.215269	0.151481	0.0714834
a37	0.156969	0.0544003	0.195015	0.299454	0.210241	0.0839206
a35	0.119091	0.0409921	0.129363	0.221594	0.257167	0.231793
a31	0.112654	0.0433614	0.121416	0.204242	0.252224	0.266103
a7	0.0970332	0.0249786	0.0809029	0.17403	0.257201	0.365855
a18	0.10518	0.0386263	0.11115	0.193832	0.250282	0.30093
a24	0.0908278	0.0508074	0.111169	0.186341	0.238611	0.322244
a31	0.0980362	0.045563	0.0974631	0.186689	0.245349	0.3269
a20	0.0772308	0.00742288	0.0202621	0.0913613	0.204032	0.599691
a8	0.0688088	0.0406906	0.0686293	0.214078	0.238009	0.369784
a31	0.0602237	0.0449667	0.0581324	0.203021	0.200021	0.433635
</S>	0.0933617	0.00939005	0.0169282	0.0501655	0.0903774	0.739777
