 	non	aveva	dove	aveva	per	stare	</S>
a7	0.131178	0.137635	0.165859	0.170695	0.184606	0.13897	0.0710572
a31	0.0844064	0.109768	0.107688	0.167565	0.227861	0.25964	0.0430711
a29	0.0550361	0.132889	0.135832	0.204669	0.23351	0.203541	0.0345223
a19	0.0456863	0.137832	0.164446	0.215752	0.211894	0.183718	0.0406708
a46	0.0654726	0.147747	0.168936	0.196209	0.189652	0.17478	0.0572029
a31	0.0962739	0.147447	0.154018	0.167701	0.166466	0.161808	0.106287
a38	0.0435269	0.120345	0.180666	0.217319	0.212332	0.166896	0.0589142
a31	0.119091	0.150517	0.15337	0.165411	0.171679	0.15437	0.0855621
a20	0.0414342	0.0922609	0.195764	0.243423	0.265994	0.127945	0.0331786
a31	0.069113	0.117985	0.190264	0.220215	0.242775	0.132171	0.0274765
a0	0.0253343	0.0685007	0.179214	0.263505	0.331778	0.10987	0.0217969
a31	0.0452967	0.0919973	0.168613	0.231983	0.327139	0.116294	0.0186773
a46	0.0123177	0.0484296	0.108579	0.268199	0.431291	0.110836	0.0203484
a18	0.0144569	0.0683301	0.0917336	0.25723	0.418471	0.135174	0.0146038
</S>	0.0105807	0.0569032	0.0638429	0.2538	0.460395	0.140437	0.0140411
