 	il	vestito	della	sposa	deve	essere	bianco	</S>
a20	0.183816	0.192024	0.112611	0.0776403	0.0931399	0.119896	0.0659052	0.154967
a31	0.0539349	0.197245	0.0323623	0.150435	0.199366	0.195022	0.126652	0.0449837
a7	0.0962594	0.201075	0.0122542	0.0476503	0.187867	0.264777	0.148336	0.0417819
a31	0.0986021	0.124306	0.0136067	0.0423652	0.161423	0.25047	0.186519	0.122709
a21	0.110703	0.159786	0.010889	0.0287153	0.159238	0.275287	0.175076	0.0803046
a31	0.0943934	0.108952	0.0155884	0.0456786	0.148932	0.233329	0.176724	0.176404
a11	0.115768	0.152004	0.00793418	0.0127672	0.115113	0.282522	0.181372	0.132519
a31	0.11509	0.137664	0.0115778	0.0292765	0.143227	0.245008	0.167909	0.150247
a46	0.131747	0.171578	0.00639159	0.00707755	0.0814262	0.283436	0.145492	0.172852
a31	0.172381	0.201081	0.0121235	0.0249724	0.106066	0.200224	0.0952009	0.18795
a17	0.292181	0.385423	0.00312481	0.00201768	0.0180148	0.139713	0.0461864	0.113339
a20	0.31568	0.425399	0.00441438	0.00363656	0.019665	0.0737908	0.0311947	0.12622
a31	0.326792	0.493027	0.00722303	0.00273948	0.0108458	0.0452799	0.0155038	0.0985894
a20	0.311969	0.657474	0.000579311	0.000170426	0.000646608	0.00940884	0.0012269	0.0185254
</S>	0.281746	0.596916	0.00689907	0.00261459	0.00804541	0.0298144	0.0107004	0.063264
