 	sono	stato	sempre	poveretti	</S>
a20	0.0332101	0.0147307	0.0208404	0.481719	0.4495
a4	0.624588	0.309721	0.0476864	0.0116742	0.00632957
a31	0.445669	0.307151	0.1538	0.0599313	0.0334482
a38	0.587042	0.372729	0.0292372	0.00683308	0.00415874
a31	0.302189	0.267382	0.206556	0.157577	0.066295
a7	0.59557	0.369355	0.0249374	0.00622979	0.00390773
a31	0.384316	0.332763	0.180266	0.0710498	0.0316057
a21	0.580471	0.372342	0.0344897	0.00762264	0.00507487
a20	0.309894	0.231422	0.174828	0.208266	0.0755896
a8	0.476719	0.30917	0.145894	0.0467815	0.0214355
a31	0.257828	0.158757	0.14761	0.268212	0.167593
a33	0.522119	0.35681	0.0911526	0.0185181	0.0113995
a20	0.210952	0.128688	0.12722	0.339719	0.19342
a31	0.275056	0.172517	0.172624	0.22241	0.157395
a7	0.369884	0.21781	0.129709	0.193049	0.0895473
a31	0.214477	0.136168	0.119376	0.355572	0.174408
a11	0.269784	0.117591	0.0567274	0.376519	0.179378
a31	0.162327	0.0730594	0.0553717	0.45821	0.251032
a13	0.149504	0.0467322	0.0197213	0.505613	0.27843
a18	0.0749785	0.0306124	0.0167374	0.525497	0.352175
a31	0.035455	0.0177066	0.0103255	0.484307	0.452206
</S>	0.0699781	0.017911	0.00563584	0.466834	0.439641
