 	l	ho	sentito	che	viene	</S>
a34	0.367385	0.305701	0.046516	0.0465573	0.103484	0.130357
a46	0.580589	0.249004	0.0122519	0.0139589	0.062291	0.0819056
a41	0.530067	0.25163	0.0100615	0.0124715	0.085426	0.110344
a19	0.497669	0.228034	0.00536902	0.00529895	0.0859007	0.177728
a31	0.281557	0.167202	0.00849132	0.0131586	0.186784	0.342808
a20	0.413124	0.164626	0.00643144	0.00677407	0.100808	0.308237
a31	0.344838	0.205808	0.00700251	0.0153153	0.159655	0.267381
a24	0.631752	0.182149	0.00335518	0.00310703	0.0364515	0.143185
a31	0.632091	0.229351	0.00219204	0.00261879	0.0341907	0.0995562
a23	0.776776	0.161681	0.00142952	0.00137224	0.0125625	0.0461788
a20	0.599594	0.252321	0.00364329	0.0050469	0.0376203	0.101775
</S>	0.642975	0.257401	0.00316838	0.00287919	0.0224276	0.0711483
