 	essendosi	vestito	</S>
a46	0.06542	0.496157	0.438423
a31	0.267088	0.379571	0.353341
a18	0.0332115	0.658087	0.308701
a31	0.060169	0.630383	0.309448
a20	0.0148483	0.649517	0.335634
a46	0.0192212	0.616353	0.364426
a20	0.0690167	0.511283	0.4197
a31	0.0497921	0.53325	0.416958
a0	0.00557472	0.498019	0.496406
a46	0.0519835	0.501598	0.446419
a35	0.0598123	0.444595	0.495593
a46	0.0481736	0.444919	0.506907
a24	0.0509464	0.420256	0.528798
a46	0.0172437	0.47211	0.510647
a24	0.0448729	0.420947	0.53418
a31	0.0115392	0.451833	0.536628
</S>	0.0135675	0.355654	0.630778
