 	dove	aveva	per	stare	non	aveva	</S>
a24	0.169669	0.196996	0.202517	0.135962	0.07962	0.101175	0.114062
a20	0.0542797	0.115037	0.17698	0.246727	0.22405	0.143093	0.0398336
a13	0.0602808	0.151063	0.184126	0.185643	0.198526	0.165136	0.055225
a37	0.0937489	0.168097	0.166536	0.143826	0.164539	0.174414	0.0888393
a24	0.0934082	0.15935	0.154255	0.134429	0.158248	0.181572	0.118738
a31	0.0984051	0.159004	0.154825	0.140361	0.153244	0.172761	0.1214
a20	0.121914	0.21292	0.200662	0.127513	0.0949093	0.144097	0.0979851
a0	0.128419	0.174213	0.175151	0.155532	0.123042	0.141457	0.102185
a20	0.109501	0.155438	0.155372	0.144657	0.132011	0.156562	0.146459
a31	0.119029	0.155	0.154777	0.146129	0.131921	0.151672	0.141473
a8	0.173295	0.258322	0.241945	0.12226	0.0441442	0.0857185	0.0743155
a23	0.135612	0.188454	0.214904	0.172861	0.0753068	0.114291	0.0985711
a38	0.157183	0.193069	0.210847	0.158057	0.0699014	0.104968	0.105976
a33	0.160165	0.183964	0.194346	0.154665	0.0806164	0.112485	0.113758
a31	0.148714	0.180659	0.195359	0.161706	0.0827101	0.117593	0.11326
a24	0.239255	0.278077	0.258999	0.0916857	0.0215519	0.0500758	0.0603556
a18	0.165139	0.190414	0.19251	0.16003	0.095705	0.115417	0.0807843
a31	0.140314	0.171888	0.177779	0.156856	0.098785	0.131672	0.122706
a33	0.263307	0.324535	0.284432	0.0676675	0.00864006	0.0224929	0.0289263
</S>	0.141818	0.208475	0.269182	0.166574	0.0520315	0.0825369	0.0793821
