 	lo	posso	finire	di	scrivere	</S>
a20	0.021523	0.0299322	0.103845	0.353886	0.283768	0.207046
a31	0.114487	0.112872	0.0964707	0.305535	0.271248	0.0993871
a39	0.0154548	0.0157278	0.0328159	0.427532	0.320677	0.187792
a24	0.00773121	0.00974009	0.024477	0.384959	0.330909	0.242184
a18	0.00557963	0.00750216	0.0243317	0.280043	0.299761	0.382783
a24	0.0117805	0.0154227	0.033895	0.25617	0.289923	0.392809
a31	0.012184	0.0149437	0.0343648	0.261594	0.294719	0.382194
a20	0.00101696	0.00141857	0.00804482	0.253677	0.277346	0.458496
a31	0.00357134	0.00632032	0.0439628	0.350176	0.311235	0.284735
a1	0.000182014	0.000381748	0.0024747	0.189966	0.144853	0.662143
a31	0.00188684	0.00214321	0.0296165	0.420998	0.261113	0.284243
</S>	0.000251606	0.000450243	0.00310912	0.131646	0.0954047	0.769138
