 	io	non	so	cosa	è	da	scrivere	</S>
a48	0.0813791	0.286017	0.204808	0.110768	0.0775758	0.0778006	0.0650749	0.096576
a31	0.0633886	0.105951	0.0814651	0.182167	0.217911	0.187152	0.129996	0.0319679
a14	0.0662996	0.134167	0.0618835	0.131257	0.181661	0.255193	0.13585	0.0336889
a37	0.0739021	0.1392	0.065934	0.0928126	0.13157	0.225101	0.177007	0.0944731
a10	0.0694734	0.125677	0.0714183	0.0928996	0.126756	0.195723	0.185287	0.132766
a31	0.0653325	0.103126	0.0671776	0.0866067	0.118001	0.174014	0.187518	0.198224
a28	0.0640239	0.134958	0.0671906	0.0707859	0.0964119	0.175264	0.179536	0.21183
a31	0.0542325	0.108262	0.0697297	0.103202	0.137005	0.176437	0.178924	0.172208
a42	0.0513461	0.256589	0.0922177	0.0594458	0.0654217	0.132579	0.129328	0.213074
a23	0.0445254	0.148992	0.0687736	0.118155	0.169691	0.180944	0.14018	0.128738
a8	0.0471398	0.243808	0.0839953	0.104758	0.174718	0.172801	0.084706	0.0880737
</S>	0.0616191	0.269468	0.101758	0.105751	0.157089	0.154676	0.0727295	0.0769094
