 	tutto	il	cibo	vuole	girato	</S>
a31	0.15728	0.160013	0.173889	0.182235	0.147065	0.179517
a8	0.181434	0.512077	0.212512	0.081077	0.00776442	0.00513589
a31	0.255219	0.250155	0.214696	0.164148	0.0755091	0.0402728
a29	0.321435	0.37044	0.197919	0.0851882	0.0163412	0.00867631
a20	0.324631	0.281665	0.1941	0.116267	0.0475165	0.0358208
a39	0.269263	0.238182	0.189001	0.151076	0.0862048	0.0662744
a31	0.209742	0.187136	0.161635	0.16427	0.134626	0.14259
a0	0.372798	0.291183	0.1553	0.0788938	0.0465696	0.0552557
a31	0.233161	0.207089	0.172968	0.159296	0.113848	0.113638
a24	0.379827	0.298598	0.148101	0.0719447	0.0452089	0.0563209
a36	0.324524	0.297744	0.18587	0.0987591	0.052071	0.0410317
a11	0.222314	0.19817	0.165394	0.159756	0.113399	0.140966
a17	0.212251	0.188568	0.15864	0.161601	0.120754	0.158185
a31	0.202703	0.177097	0.149191	0.160762	0.125606	0.18464
a6	0.324515	0.263664	0.157385	0.0937169	0.0659443	0.0947752
a31	0.1885	0.187223	0.165282	0.174478	0.104874	0.179643
a24	0.319645	0.27291	0.15794	0.0894594	0.0621576	0.0978877
a6	0.296727	0.276332	0.183401	0.110682	0.0586862	0.0741721
a31	0.180984	0.195432	0.163936	0.183595	0.0741647	0.201888
a46	0.308075	0.289375	0.161142	0.0823322	0.0523421	0.106734
a39	0.186058	0.223313	0.176494	0.18473	0.0514521	0.177953
a31	0.159536	0.180554	0.163277	0.201661	0.0641553	0.230818
a41	0.282291	0.272807	0.152068	0.0864123	0.0374607	0.16896
a8	0.193201	0.220564	0.169796	0.155066	0.0328099	0.228563
</S>	0.129454	0.172126	0.139866	0.208991	0.0430624	0.306501
