 	ho	finito	di	scrivere	</S>
a38	0.140732	0.212407	0.23415	0.206869	0.205842
a31	0.189486	0.269528	0.285154	0.22301	0.0328215
a15	0.0709541	0.370389	0.384182	0.142318	0.0321571
a18	0.0477844	0.252165	0.320277	0.249267	0.130506
a31	0.0453405	0.236452	0.303176	0.251735	0.163296
a37	0.031814	0.209706	0.377694	0.221089	0.159697
a31	0.0379744	0.248553	0.332007	0.245995	0.13547
a0	0.0268396	0.193228	0.358786	0.224251	0.196896
a31	0.0577089	0.276222	0.299933	0.235737	0.130399
a18	0.0301772	0.228903	0.30417	0.206493	0.230257
a31	0.0631636	0.324042	0.300196	0.191922	0.120676
a39	0.0341809	0.200365	0.266632	0.177084	0.321738
a20	0.068291	0.299553	0.319436	0.152419	0.160301
a31	0.0614102	0.251907	0.343926	0.155833	0.186923
a8	0.0188879	0.11629	0.319728	0.169254	0.37584
a20	0.0998712	0.24335	0.317445	0.170206	0.169128
a31	0.0636582	0.211594	0.360634	0.160907	0.203206
</S>	0.0166005	0.0920071	0.322381	0.144701	0.42431
