 	che	vende	buon	pane	</S>
a17	0.0432603	0.0472889	0.392079	0.311907	0.205465
a31	0.0814846	0.111016	0.315503	0.303708	0.188289
a11	0.0160565	0.0168613	0.502624	0.301838	0.162621
a39	0.0215039	0.0242648	0.469707	0.298348	0.186177
a35	0.0368174	0.0486948	0.3791	0.306257	0.229132
a39	0.0468653	0.0656054	0.334378	0.291813	0.261338
a31	0.0650836	0.090186	0.305459	0.27737	0.261901
a24	0.00857402	0.00960105	0.471121	0.292642	0.218062
a18	0.0382581	0.0453192	0.417504	0.296108	0.202811
a31	0.0535511	0.0756204	0.331634	0.288944	0.250251
a13	0.00538926	0.00556267	0.440755	0.27971	0.268583
a31	0.0583576	0.0754016	0.356327	0.293111	0.216802
a46	0.00194646	0.00208932	0.347521	0.234133	0.41431
a8	0.0238686	0.0488478	0.342527	0.322319	0.262437
</S>	0.020093	0.0429728	0.309609	0.3165	0.310825
