 	vuole	andare	a	Lecce	</S>
a20	0.0874604	0.209445	0.270546	0.26275	0.169799
a31	0.0544824	0.199281	0.335122	0.281756	0.129358
a18	0.0261501	0.134691	0.340999	0.374737	0.123423
a46	0.0229402	0.11039	0.274164	0.415328	0.177178
a37	0.0328538	0.151048	0.257277	0.324092	0.234728
a23	0.0285325	0.140049	0.25311	0.328577	0.249732
a18	0.0789992	0.191172	0.240533	0.249992	0.239304
a38	0.0925045	0.192439	0.232968	0.245317	0.236772
a37	0.0987741	0.1939	0.2341	0.238076	0.23515
a31	0.0741711	0.172946	0.234638	0.260328	0.257917
a20	0.0152928	0.0604069	0.170502	0.329202	0.424596
</S>	0.0758523	0.16804	0.263559	0.258219	0.234329
