 	tu	quante	bottiglie	hai	rotto	dieci	</S>
a21	0.155275	0.19612	0.125138	0.103153	0.130766	0.1609	0.128647
a20	0.043278	0.127034	0.175117	0.195147	0.205251	0.172198	0.081975
a35	0.0247473	0.106021	0.152437	0.195067	0.253909	0.196734	0.071085
a20	0.0265467	0.107364	0.126619	0.157207	0.222397	0.222031	0.137835
a38	0.0243612	0.0962903	0.116454	0.150084	0.22585	0.232771	0.154189
a31	0.0310945	0.109101	0.129386	0.152112	0.197574	0.205339	0.175394
a18	0.0256893	0.102256	0.0781745	0.0936108	0.24913	0.301499	0.14964
a23	0.0327654	0.138685	0.141733	0.155803	0.203889	0.199542	0.127584
a24	0.0402932	0.142658	0.141867	0.144394	0.175491	0.184478	0.170819
a37	0.0555622	0.166913	0.139605	0.138705	0.176698	0.183795	0.138722
a20	0.0321211	0.129206	0.129064	0.139635	0.193537	0.206606	0.16983
a31	0.0410485	0.14654	0.140143	0.141816	0.180523	0.189825	0.160104
a20	0.0416412	0.189503	0.0840784	0.0691967	0.163055	0.247425	0.2051
a33	0.0749372	0.218022	0.131388	0.108788	0.161405	0.179023	0.126436
a31	0.0478034	0.178796	0.129975	0.112491	0.16187	0.190607	0.178458
a20	0.162658	0.318064	0.0799209	0.0461329	0.0838077	0.12815	0.181267
a31	0.112205	0.304648	0.0921451	0.0588661	0.120508	0.167151	0.144476
a20	0.135001	0.369746	0.0732143	0.0377424	0.0781583	0.129387	0.176751
a31	0.147427	0.400561	0.0708554	0.0355486	0.0767817	0.124513	0.144314
</S>	0.0712053	0.374571	0.0837954	0.0359616	0.102053	0.170576	0.161838
