 	Marika	è	che	si	sposa	domani	</S>
a27	0.95460385	0.008225523	0.022071194	0.0007170892	0.01423325	2.2331126e-06	0.0001468983
a37	0.8684377	0.07226108	0.059274912	8.219312e-06	2.136019e-06	2.1202727e-07	1.5699083e-05
a31	0.9979394	0.0013397568	0.0007156598	1.4277463e-06	3.417119e-06	4.832887e-08	2.8610614e-07
a11	0.9976043	0.0017162274	0.0006565972	1.2503592e-05	6.7433905e-07	7.599247e-06	2.0885557e-06
a31	0.99963427	0.00031150942	5.345622e-05	2.0209316e-07	3.5225244e-07	1.895341e-08	8.446717e-08
a37	0.9991704	0.00075671513	6.488507e-05	1.8775044e-06	5.913968e-07	4.4927065e-06	9.66261e-07
a31	0.99156946	0.0010090913	0.0024683077	0.00013308506	0.0048165303	1.9393722e-06	1.4917234e-06
a6	0.9944523	0.0031920357	0.001451881	0.00037123216	0.000513532	1.6906533e-05	2.108122e-06
a20	0.0107420655	0.00094686577	0.004758419	0.0030716201	0.97973377	0.0006474919	9.971268e-05
a31	0.20544063	0.0007829345	0.015556167	0.009083122	0.7339798	0.03461929	0.00053802604
a20	0.013499084	0.00015291703	0.027487503	0.0028874893	0.9550851	0.00021781823	0.0006702
a31	0.03962143	4.9743634e-05	0.63340354	0.06829879	0.084621616	0.16930498	0.004699786
a0	0.011871899	0.0016082536	0.10457663	0.007570284	0.677133	0.004756603	0.1924833
a20	0.014695181	0.00036143878	0.52140343	0.07527402	0.021157105	0.32215968	0.044949114
a31	0.024252173	0.0014789068	0.57032305	0.047269654	0.052340902	0.24854031	0.055794973
</S>	0.007151869	0.0014219522	0.06584688	0.011504327	0.2932623	0.016347827	0.6044649
