 	non	ha	da	mangiare	</S>
a31	0.089686096	0.42784092	0.47369933	0.0003057823	0.008467853
a20	0.0009988841	0.94507855	0.05388816	3.4143835e-05	3.6499e-07
a31	0.17924213	0.5759739	0.23876925	9.324127e-05	0.0059214123
a41	0.06670186	0.47122574	0.459535	0.00072080374	0.0018165568
a10	0.76493835	0.074184924	0.07883475	0.0002369613	0.081805
a31	0.99617577	0.0023536454	0.0013250175	2.9697301e-05	0.00011574568
a15	0.45661622	0.11148912	0.32250503	0.058961168	0.050428458
a31	0.15447913	0.044958927	0.15928741	0.6006415	0.040633027
a39	0.135847	0.024190051	0.017809397	0.28893116	0.5332224
a37	0.030391494	0.04218681	0.29936975	0.618665	0.009386941
</S>	0.018205842	0.013458153	0.079244815	0.8736171	0.01547402
