 	l	ha	scritta	</S>
a20	0.90941495	0.090347014	0.00014872084	8.931078e-05
a31	0.07424379	0.9249552	0.0008006811	3.8227202e-07
a35	0.02739663	0.9435661	0.029037297	3.4149075e-08
a31	0.15175001	0.84778833	0.00044954577	1.2098778e-05
a35	0.030852327	0.93963236	0.029428205	8.709957e-05
a31	0.4339563	0.5385332	0.01882386	0.008686616
a41	0.28029433	0.67738384	0.036131296	0.00619052
a31	0.0482962	0.074873574	0.80923635	0.06759386
a11	0.07080184	0.030816926	0.8263787	0.072002485
a18	0.061341457	0.08203612	0.85420036	0.002422088
a13	0.027328165	0.040473815	0.9308853	0.0013127191
</S>	0.07120206	0.13410117	0.79370797	0.0009887991
