 	non	ho	cosa	a	fare	</S>
a8	0.14525327	0.06908847	0.021548225	0.49038154	0.08606271	0.18766567
a31	0.10595661	0.7228008	0.124241926	0.04595648	0.00011703807	0.00092720275
a37	0.0434913	0.45203662	0.34226143	0.15479654	0.007160813	0.00025322748
a10	0.30180636	0.08452726	0.0027700146	0.09384638	0.31607783	0.20097221
a37	0.26856837	0.015180424	0.00018419178	0.0055690054	0.6633985	0.04709948
a10	0.5281241	0.0015479602	3.5799945e-05	0.0019378487	0.44068873	0.027665574
a0	0.6312402	0.0009300378	4.9491635e-05	0.002902128	0.33071947	0.034158595
a20	0.2768407	0.0013764679	0.00015162324	0.013379789	0.670139	0.038112365
a17	0.17074619	0.0019624203	0.00027265822	0.03706041	0.7848383	0.005119956
a20	0.04307476	0.0011094615	0.00029805797	0.036728986	0.9146449	0.004143893
a8	0.05632833	0.001726523	0.0003889906	0.041019145	0.89874816	0.0017887799
</S>	0.0076641766	0.0004904939	0.00035940358	0.03954435	0.9466568	0.005284783
