 	guardando	le	nuvole	sapevi	che	sta	per	piovere	</S>
a31	0.01903941	0.9735686	0.007275212	0.00011095473	3.6599508e-06	2.015869e-06	8.5958324e-11	9.314201e-08	3.1998887e-08
a46	0.95007	0.04968937	0.00024042673	8.9019405e-09	1.0481896e-07	1.0766223e-10	2.3377285e-13	2.6674591e-09	6.0490653e-12
a31	0.0017523556	0.99761033	0.00063450227	2.7166725e-06	1.1582621e-07	4.089563e-09	2.360748e-13	2.641297e-09	6.4962885e-10
a27	0.15243982	0.83451235	0.013045188	1.7903413e-06	7.374306e-07	1.5838735e-08	8.3315306e-11	1.7845055e-07	2.1247093e-09
a41	0.00013293698	0.9987696	0.0010967104	7.712366e-07	1.3850785e-08	2.877546e-10	9.491479e-14	6.747897e-10	5.4923118e-11
a1	4.0599156e-05	0.99956685	0.0003840372	8.4397625e-06	2.1551779e-08	1.0771214e-09	2.2397225e-12	1.4502328e-09	6.6015096e-11
a21	0.0033514083	0.9850793	0.0009666707	0.008794253	0.00017679537	6.7257584e-05	1.27690355e-05	0.0015315795	1.9951696e-05
a31	0.006542613	0.9820726	0.002157788	0.0034120576	0.00010361758	2.8807886e-05	2.6389556e-05	0.005603109	5.3015632e-05
a13	0.097614	0.8761293	0.001275807	0.00999574	0.006023047	0.00038426433	1.6798843e-06	0.006186386	0.0023897178
a31	0.005616066	0.8941421	0.004990057	0.00013572791	0.00024117672	4.708455e-05	8.688892e-06	0.09474211	7.696028e-05
a41	0.14320317	0.78088397	0.0045008543	0.0072243274	0.0013805093	0.0005628255	1.9084751e-05	0.05757045	0.004654798
a35	0.0007692069	0.79214823	0.00742759	8.116947e-05	0.0006452473	5.2133728e-05	3.4061693e-06	0.19871339	0.00015962569
a31	0.0028822047	0.34251356	0.004771192	2.0666403e-05	0.0025252448	0.00012634331	3.9851398e-06	0.6462809	0.00087590475
a14	0.006189535	0.87297344	0.013959537	0.00028840243	0.018138075	0.0054038623	0.00079140253	0.07031058	0.011945122
a28	0.0017076872	0.42063984	0.04336531	0.002541684	0.007226697	0.0018482647	5.938405e-05	0.51936567	0.0032455416
a31	0.0033921194	0.518573	0.037111897	0.0018659905	0.006269236	0.0023094506	9.791386e-05	0.42833573	0.002044716
a0	0.08699529	0.7161974	0.03358381	0.0035242669	0.04189126	0.025017563	0.00068952027	0.05681579	0.035285197
a31	0.0036937792	0.6245323	0.16047394	0.019072233	0.0067297304	0.0046886066	0.001351719	0.17835991	0.0010976809
a46	0.047523875	0.22720857	0.020572765	0.004236003	0.11562832	0.05501663	0.0010992349	0.22352587	0.30518875
a17	0.012222208	0.3882482	0.24839497	0.078005016	0.009472743	0.0104403095	0.007984796	0.24178416	0.0034476258
</S>	0.027601976	0.18326983	0.09235586	0.020279244	0.017007986	0.015401982	0.0025515012	0.6331833	0.008348205
