 	quella	famiglia	non	ha	da	mangiare	</S>
a20	0.044226553	0.9472716	0.0031046732	0.0018630428	0.0022554863	2.8497037e-05	0.0012501999
a31	0.04807521	0.07217278	0.0048348797	0.10588103	0.66726047	0.08742021	0.014355369
a37	0.12706526	0.22155671	0.009793418	0.29792866	0.2847609	0.057480946	0.0014140068
a31	0.9292866	0.033007566	0.0040653334	0.0065161656	0.026815046	0.0003029466	6.31322e-06
a13	0.87707186	0.12129455	0.0009700955	0.00033271717	0.00028045478	4.9502785e-05	9.431347e-07
a31	0.9072148	0.054809175	0.016501902	0.011227179	0.010204906	4.1145715e-05	8.490408e-07
a43	0.9786083	0.020259297	0.0005853769	0.00024161425	0.00022260523	8.283887e-05	3.25438e-08
a31	0.50378245	0.12217169	0.18841837	0.16032615	0.02292083	0.002369579	1.08946015e-05
a20	0.060098518	0.7478123	0.13326904	0.042851195	0.008032331	0.007911604	2.4977533e-05
a31	0.8030428	0.058846805	0.030887054	0.039339703	0.032911457	0.034414865	0.0005572685
a11	0.019918079	0.69715756	0.25832596	0.019903552	0.0028674086	0.0009438042	0.00088376534
a31	0.018109433	0.93565756	0.020898946	0.0012233203	0.00031986836	0.0034281178	0.020362586
a30	0.01150438	0.9383881	0.035289686	0.0023675603	0.00079024	0.0030483862	0.008611527
a31	0.019418852	0.92210877	0.02126536	0.00078789925	0.0005089933	0.00660582	0.029304415
a42	0.0047935923	0.9478062	0.00525894	0.000511571	0.00031854477	0.0056526666	0.03565849
a20	0.0030407037	0.057050213	0.006837461	0.002720613	0.00869321	0.89545554	0.026202196
a31	0.007075151	0.5441297	0.009977486	0.001569925	0.004517576	0.37255633	0.06017395
a20	0.002537662	0.82412267	0.0013029296	0.0007688956	0.0009969616	0.005734941	0.16453603
</S>	0.002755715	0.0050081336	0.0035947538	0.0022809173	0.010052991	0.96684116	0.009466373
