 	quando	è	arrivato	Giovanni	Anna	stava	ancora	cucinando	</S>
a31	0.8949234	0.10295049	0.0013630779	0.0006566699	9.895289e-06	9.630001e-05	1.01983e-08	2.361831e-09	1.08031294e-07
a8	0.06269802	0.25931776	0.6724938	0.0054749874	1.5228356e-05	2.3443253e-08	1.19066016e-07	5.173045e-08	4.6747e-10
a31	0.8060883	0.14371696	0.049649455	0.00051913655	2.5353494e-05	4.3954753e-07	2.4599146e-07	4.777032e-10	3.9857678e-10
a10	0.65368426	0.19634421	0.1480563	0.0018890182	2.5501418e-05	1.2782833e-07	5.336304e-07	1.232395e-08	8.814428e-11
a39	0.97936773	0.019875053	0.00075628085	8.451046e-07	2.761237e-09	1.3606886e-10	1.765001e-10	3.1840633e-12	4.8206036e-13
a31	0.992182	0.0072620325	0.0005555288	3.7807413e-07	1.5321408e-08	6.7976375e-10	2.0774662e-09	6.8790876e-11	3.4312646e-12
a20	0.997924	0.0019234176	0.00015176117	7.759189e-07	5.046134e-08	7.270876e-10	1.9040332e-09	1.5770237e-10	5.3133843e-13
a31	0.9984999	0.0014314031	4.7450107e-05	1.1416048e-05	2.18132e-07	9.537655e-06	7.345786e-08	1.45878385e-08	7.0871203e-10
a8	0.99833494	0.001421109	0.00016845399	8.446734e-06	3.5292821e-06	6.343539e-05	9.0945235e-08	2.478095e-08	6.792599e-10
a31	0.99858886	0.0006159498	9.602803e-05	0.00020000356	1.4244029e-05	0.00048170736	2.1991822e-07	2.0956074e-06	6.829333e-07
a17	0.9415295	0.0041920766	0.00046354267	0.005103418	0.00073593337	0.047817778	1.5140344e-05	0.00012075626	2.177994e-05
a37	0.95228434	0.0019722278	0.010435403	0.0076730074	0.0020946437	0.02045742	7.5431235e-05	0.0046711243	0.00033636007
a23	0.9632845	0.0035442645	0.012229235	0.0049301703	0.0011674754	0.009803637	6.522945e-05	0.004772328	0.00020317451
a31	0.9809238	0.0033481347	0.0057381066	0.0036199552	0.00051283406	0.0032882642	2.0594638e-05	0.0024005088	0.0001478465
a42	0.9401965	0.020430898	0.0010490835	0.020341855	0.001252024	0.015518273	6.88602e-05	0.00056864746	0.0005737325
a31	0.6589562	0.009448559	0.16135715	0.018450188	0.004892008	0.019718647	0.0017699861	0.12037404	0.005033223
a20	0.43043622	0.03827121	0.012790675	0.077989034	0.028938314	0.3201938	0.0027728651	0.03133756	0.057270333
a31	0.36897102	0.0068555633	0.29394445	0.0450888	0.008620084	0.053939227	0.008220653	0.2083758	0.005984406
a17	0.1790217	0.037945133	0.029220423	0.05593612	0.043817844	0.3962807	0.0047590565	0.077618964	0.17540012
a31	0.18366678	0.009909955	0.54662824	0.016792882	0.0045928103	0.022722393	0.012036877	0.19948614	0.0041639293
a20	0.080019996	0.02745006	0.028557707	0.044115108	0.04657778	0.31841764	0.0056922804	0.101379775	0.34778965
a31	0.15087572	0.0097697135	0.598	0.017806407	0.0044921376	0.02460112	0.014561148	0.17632683	0.003566985
a46	0.069675796	0.030158877	0.036849305	0.033261567	0.03927282	0.23861833	0.005119321	0.10301345	0.44403052
a8	0.07951117	0.011503561	0.73498625	0.006224483	0.0024071303	0.010516942	0.01368032	0.13902521	0.0021450846
a31	0.067290366	0.015703095	0.44339657	0.00919036	0.0057750884	0.025854178	0.012740049	0.39917815	0.020872138
a18	0.016191997	0.0076341433	0.0069907815	0.03652899	0.04155604	0.22431225	0.005436845	0.074936606	0.5864124
a31	0.060328443	0.012279784	0.66292	0.005632345	0.0027499222	0.011393611	0.014538185	0.22438776	0.005770005
a20	0.011724511	0.006609034	0.009077305	0.028479926	0.038253237	0.17028154	0.005221947	0.10552039	0.6248321
a31	0.052264523	0.010417555	0.7585239	0.0053611174	0.0020953033	0.009457327	0.014598678	0.14425881	0.0030227639
</S>	0.014397811	0.00888555	0.014161811	0.023290103	0.03206903	0.13341723	0.004848441	0.11741926	0.6515107
