 	e	che	cucino	</S>
a31	0.5019994	0.012034669	0.007324939	0.47864103
a24	0.90658104	0.08781018	0.0054920623	0.0001167072
a31	0.49197865	0.46171373	0.04456794	0.0017396273
a11	0.59091973	0.32285392	0.07713613	0.00909017
a46	0.8876671	0.087204084	0.013901155	0.011227671
a41	0.99055535	0.005727637	0.0013607509	0.0023562172
a20	0.99555355	0.001991708	0.0002713555	0.002183475
a36	0.9655376	0.020124331	0.00195287	0.012385061
a31	0.26300353	0.01912652	0.02450702	0.6933629
a46	0.27005464	0.00050670264	0.00023201425	0.7292066
</S>	0.029994482	0.0044138697	0.030160673	0.93543094
