 	sto	e	cucino	</S>
a31	0.0012436466	0.025884656	0.006268019	0.96660364
a20	0.9655465	0.0341722	0.000280638	6.5367715e-07
a31	0.51958084	0.42239037	0.039612543	0.018416213
a37	0.24787134	0.62522614	0.12649627	0.0004061781
a18	0.21943936	0.61376923	0.08110841	0.08568302
a31	0.22006463	0.56636816	0.028925722	0.18464151
a20	0.88306516	0.025284441	0.0036888083	0.08796149
a31	0.0009574798	0.1134172	0.05119348	0.8344318
a28	4.5564615e-05	3.2156484e-05	0.00018474131	0.99973756
a33	1.1278531e-05	0.24232131	0.119402766	0.63826466
a31	6.472495e-05	0.007184022	0.007196142	0.9855552
</S>	0.00039388167	0.00068601413	0.058071326	0.9408488
