 	ti	dico	una	cosa	però	non	parlare	di	queste	cose	con	Maria	</S>
a46	0.08680209	0.90093875	0.00022797086	0.0005740453	9.1605796e-07	2.6426246e-06	3.0866977e-05	4.1041285e-06	8.074922e-05	0.0113377655	1.2872995e-08	1.2219936e-08	3.2040198e-08
a28	0.019469237	0.9790484	0.00027666637	0.0005253335	1.6345629e-07	2.0029997e-06	1.0644477e-06	1.7153276e-10	0.00030841294	0.00036855915	1.2777143e-07	3.4481809e-09	2.3741595e-09
a15	0.13371715	0.8546931	0.00037005282	0.006735597	7.32136e-06	5.3026295e-05	2.133857e-05	5.6456746e-09	0.0018154079	0.0025855047	9.098046e-07	5.8613034e-07	5.6957333e-08
a31	0.18215838	0.81129044	4.6032783e-06	0.0013821648	2.2197068e-07	7.4053664e-06	1.6491358e-05	1.197976e-08	0.0021485845	0.0029915136	7.467077e-08	1.6881994e-08	3.3678638e-09
a20	0.14491682	0.85361713	1.0507416e-05	0.0009458529	1.521744e-06	8.722126e-06	2.1559345e-05	6.2383374e-09	0.00021508426	0.00026252316	1.8829014e-07	2.5214742e-08	5.4818816e-10
a31	0.8390105	0.16034941	3.3032545e-06	0.00011085958	1.8406695e-08	2.119013e-07	4.535759e-06	5.686155e-08	0.00026187577	0.0002593066	2.2135945e-08	2.5672109e-09	3.1072067e-10
a35	0.81955105	0.17805527	2.7568713e-05	0.0022782527	1.936619e-06	2.1825404e-06	8.30509e-06	3.405955e-08	4.5092995e-05	2.6596825e-05	3.1121585e-06	6.15753e-07	1.6114175e-08
a8	0.980548	0.0067496337	2.0750786e-05	2.8211218e-05	8.5849365e-08	3.539772e-07	5.890482e-05	1.0858578e-05	0.0071608108	0.0054211617	3.9673407e-07	7.2163704e-07	1.9217648e-08
a31	0.70787483	0.010089948	2.0311834e-06	1.65525e-05	2.0741485e-08	1.3226902e-07	8.092885e-05	1.4117048e-05	0.093010284	0.18891007	2.4106836e-07	8.6951e-07	1.3859408e-08
a29	0.038584504	0.0023026953	1.1342123e-06	2.5340305e-05	3.6559054e-08	6.766745e-07	0.00011381012	5.0416343e-06	0.37806454	0.58089846	2.8665718e-06	9.1420833e-07	5.610899e-09
a41	0.6704543	0.014896995	3.195136e-05	8.527524e-05	3.7330028e-07	3.906237e-07	6.0805472e-05	6.627329e-05	0.07503088	0.23912062	2.324563e-06	0.0002468346	2.8321551e-06
a37	0.4723812	0.08649188	0.0001314403	0.000544146	1.1210341e-06	3.0540973e-06	3.8072903e-05	1.9662895e-05	0.12946764	0.30735648	2.3859977e-05	0.0035266024	1.4815958e-05
a24	0.24961948	0.025072902	0.00039673076	0.00064551685	3.02477e-06	6.631595e-06	0.0001922262	0.00010454233	0.2565057	0.43577528	5.2917818e-05	0.031208908	0.00041604316
a28	0.4994012	0.061643504	0.00032961846	0.0010495993	2.6554999e-06	4.007468e-06	6.218562e-05	1.8257642e-05	0.12214887	0.28288594	4.641198e-05	0.032064073	0.00034361874
a31	0.6582901	0.08156084	0.00042100638	0.0018859803	6.541299e-06	6.4923875e-06	6.795323e-05	2.0393689e-05	0.069900036	0.12504473	0.000123383	0.061950214	0.00072233716
a20	0.013510454	0.014455287	1.9981662e-05	0.00017474491	1.5160572e-06	2.0563666e-06	1.4304115e-05	6.2051345e-07	0.06303534	0.9080842	1.2982057e-05	0.00047257007	0.00021591414
a24	0.7634296	0.09127101	0.0009691572	0.0020405354	3.53925e-05	7.2441635e-06	5.898274e-05	2.5924712e-05	0.029368611	0.07289491	0.0011013171	0.03847347	0.00032383078
a31	0.27806905	0.049860742	0.00037007956	0.0012703803	2.7472279e-05	3.3862965e-05	0.00043842167	0.00022403967	0.16436975	0.4023982	0.0009872093	0.10064058	0.0013101842
a13	0.15986279	0.653919	0.0026123887	0.012159058	0.00018319821	0.00018652396	0.00022572737	4.8572794e-05	0.017770529	0.122312754	0.00023111868	0.010616703	0.019871628
a18	0.4912364	0.08157158	0.011699459	0.006269679	0.0014326186	0.0004035068	0.0016111974	0.001929241	0.032058645	0.09715416	0.025060903	0.24298376	0.0065888143
a31	0.13838448	0.05427334	0.0068486044	0.0076929727	0.0014938205	0.0013852258	0.005727333	0.0067569995	0.043542158	0.11605496	0.01628281	0.57733655	0.024220765
a11	0.091508135	0.5293179	0.009273593	0.042508025	0.0012365426	0.0022342538	0.0025406373	0.0013705357	0.013930688	0.03531821	0.00038735932	0.054034	0.21634015
a31	0.18726078	0.025622634	0.023510676	0.008710607	0.007425147	0.002565113	0.006021296	0.013189527	0.012621738	0.026587863	0.065426566	0.5733498	0.047708273
a46	0.040020324	0.11844792	0.0032674775	0.02534224	0.0026354413	0.0078414185	0.012074212	0.011505339	0.027230604	0.052333515	0.00072749547	0.15502198	0.54355204
a31	0.074754685	0.0067196437	0.036833726	0.008208994	0.0143996235	0.0046852636	0.0091388365	0.0245108	0.0058434247	0.009368182	0.08439634	0.6555569	0.06558355
a8	0.011307416	0.01592044	0.00066725747	0.0075349775	0.0024098216	0.009458752	0.016009737	0.018971208	0.022161618	0.030407548	0.0007687444	0.16479807	0.69958436
</S>	0.011948116	0.0017636217	0.01011167	0.004591821	0.007663629	0.006743016	0.015309034	0.040816735	0.00605411	0.007846295	0.055202924	0.765975	0.06597411
