 	devo	pulire	l	albero	</S>
a39	0.0377695	0.82694036	0.121598914	0.012617731	0.0010734013
a31	0.0056756185	0.9933947	0.0009223818	1.9460908e-06	5.4211823e-06
a35	0.011052558	0.98633665	0.0026098667	6.061698e-07	3.1828782e-07
a31	0.050801367	0.9381853	0.009988882	0.00088938326	0.00013514582
a20	0.10362167	0.7611079	0.13450412	0.00066377537	0.000102533966
a31	0.4947146	0.4430167	0.037127398	0.024623653	0.0005176212
a37	0.0687288	0.5721504	0.3424671	0.01591397	0.000739782
a1	0.0023364518	0.11574233	0.03558457	0.84630245	3.4223816e-05
a20	0.002555786	0.03172926	0.004646137	0.96092707	0.00014166193
a31	0.007485445	0.060193263	0.009011393	0.91961807	0.00369179
a39	0.0012695735	0.5535104	0.0046802447	0.4228874	0.017652364
a10	0.020199614	0.22638422	0.30494836	0.4437767	0.0046911645
a29	0.018512925	0.41943282	0.14829138	0.40156066	0.012202309
a46	0.007975413	0.5275324	0.0964997	0.3361135	0.031878993
a31	0.011951292	0.5202425	0.191104	0.2715158	0.0051863794
a20	0.00016600857	0.2187139	0.1376255	0.61039066	0.03310391
a13	0.05904595	0.46458942	0.2464052	0.22735247	0.002606978
a20	0.023310091	0.2860721	0.19699454	0.47950253	0.01412074
a31	0.02064893	0.24261397	0.20583646	0.50717074	0.023729946
a11	0.00021416515	0.11488099	0.40028632	0.12932749	0.35529107
a17	0.079737075	0.053613257	0.14855209	0.6979172	0.02018035
a20	0.025381269	0.06655847	0.1412572	0.70221394	0.06458905
</S>	0.017893616	0.041643757	0.11786766	0.7341544	0.08844051
