 	l	anno	che	viene	devo	mangiare	molti	dolci	</S>
a8	0.05903941	0.40852568	0.49595344	0.034839667	0.000104145474	1.1265896e-07	0.0015281554	5.1803575e-08	9.315e-06
a31	0.0130544705	0.25290096	0.69474226	0.039287478	3.5606688e-06	1.4093076e-09	1.1282959e-05	1.1479289e-09	2.2196494e-08
a46	0.0594407	0.22223447	0.69227517	0.014576661	0.0027628792	6.271284e-07	0.008708967	4.5446254e-07	4.573026e-08
a8	0.015149385	0.82708347	0.120246835	0.037518896	1.4161708e-06	4.806165e-10	8.489799e-10	5.0938886e-13	1.5759702e-10
a20	0.08589861	0.8969445	0.015645107	0.0015116802	8.2379586e-08	2.7790463e-11	4.9299224e-11	1.081411e-13	9.063538e-11
a31	0.7961903	0.2003556	0.0031957307	0.00025836253	2.772396e-08	1.3360493e-10	9.456569e-11	3.7697905e-13	8.6090565e-11
a20	0.7502874	0.24248649	0.0064155683	0.0008105009	7.774024e-08	3.50625e-10	1.4016668e-09	2.7788691e-12	4.842927e-12
a13	0.9952649	0.0041614664	0.0005367052	3.6891583e-05	5.8631954e-08	4.0301915e-10	2.3102326e-11	3.873803e-13	3.821043e-12
a14	0.9980617	0.0015214647	0.0003800661	3.658835e-05	2.2388694e-07	3.377028e-09	2.0456696e-10	5.085724e-12	2.5024266e-11
a0	0.99683666	0.0023497173	0.00073371996	7.91575e-05	7.1322603e-07	3.3997274e-08	1.1255028e-09	2.8995955e-11	5.911351e-11
a31	0.9978123	0.0011310976	0.000941919	0.00011030468	3.5648952e-06	7.3366374e-07	2.0997147e-08	3.9533202e-10	1.3819434e-09
a37	0.99362034	0.0021200678	0.0031421443	0.0011156896	1.4070944e-06	2.9397137e-07	7.9876365e-08	3.5482836e-10	1.6533516e-08
a35	0.9718704	0.0066994936	0.01769851	0.003613875	7.513885e-05	4.1313073e-05	7.5710193e-07	1.3317809e-08	3.357339e-07
a17	0.9909327	0.0027085887	0.0053804163	0.00095370156	1.863776e-05	4.681314e-06	5.775204e-07	7.1323156e-09	7.388543e-07
a31	0.9918243	0.0021988533	0.004843271	0.001083292	2.9972798e-05	1.6013353e-05	2.2998272e-06	2.084043e-08	1.8357044e-06
a15	0.12815209	0.25153443	0.46075106	0.14603165	0.012290233	0.0011847055	3.5733956e-05	7.9771974e-07	1.9218063e-05
a31	0.9636346	0.013101055	0.019543491	0.002919059	0.00045949288	5.3778105e-05	3.3175016e-05	2.9345975e-07	0.00025505215
a46	0.11231336	0.43171537	0.40278807	0.048635002	0.0041854023	0.0002903403	3.794985e-05	1.762009e-06	3.2748623e-05
a35	0.81194806	0.10092067	0.07086821	0.0058261836	0.005132952	0.00040120006	0.0006304237	4.7451263e-06	0.00426755
a20	0.7540964	0.1589985	0.07034037	0.011099328	0.0015804019	0.0003758236	0.00034862576	3.448054e-06	0.0031572564
a31	0.8315176	0.07607346	0.07799151	0.011279287	0.0018962956	0.0002903754	0.00041475246	1.3328318e-05	0.0005233521
a17	0.0067210793	0.7072049	0.2521542	0.03005023	0.0027308892	0.0010338858	6.0180115e-05	7.4043455e-06	3.7235848e-05
a20	0.65730107	0.24123771	0.07583689	0.006418157	0.011198196	0.0017370894	0.0045010974	4.0883802e-05	0.0017288425
a8	0.68596494	0.20291439	0.08896025	0.011356589	0.0067363507	0.0012451992	0.002200421	3.1727483e-05	0.0005901244
a23	0.1778382	0.67365843	0.11229632	0.02741828	0.0028648016	0.0026920047	0.0009860321	2.4401945e-05	0.0022214367
