 	viene	fabbricato	</S>
a31	0.93308765	0.0025185114	0.064393885
a24	0.36667338	0.6332196	0.000107025546
a31	0.9966084	0.003374427	1.717562e-05
a18	0.99453664	0.0054474934	1.5931579e-05
a31	0.99993896	5.7579422e-05	3.3994788e-06
a37	0.99793303	0.002045542	2.137636e-05
a31	0.9958912	0.002507332	0.0016014428
a20	0.53481793	0.020671824	0.44451025
a41	0.9709061	0.00016246966	0.028931418
a31	0.534797	0.00047925152	0.46472377
a35	0.0439657	0.0011464185	0.95488787
</S>	0.061703302	0.0013251634	0.93697155
