 	sono	stato	sempre	poveretti	</S>
a20	0.14794688	0.8518421	0.0002060484	8.693665e-07	4.0349123e-06
a4	0.014677923	0.9357591	0.049307782	0.00025515212	1.6363725e-07
a31	2.9558105e-05	0.9999627	7.701057e-06	4.2417497e-11	9.914287e-11
a38	0.0085115535	0.98107487	0.010293359	0.00012017869	4.2813916e-08
a31	0.00048701995	0.9994122	0.000100750985	1.0902587e-09	1.0789861e-09
a7	0.0007507853	0.99884856	0.0004005244	1.6140932e-07	3.4040608e-09
a31	4.4698885e-05	0.9999542	1.0928321e-06	1.884958e-11	3.3437163e-11
a21	8.849011e-05	0.999772	0.00013956343	3.680925e-08	1.6726347e-10
a20	1.1801305e-05	0.999982	6.2243275e-06	6.7573386e-10	9.217896e-11
a8	6.623118e-05	0.99986076	7.286938e-05	1.5911709e-07	2.5390465e-09
a31	5.6103476e-05	0.9994758	0.0004524011	1.571142e-05	5.556856e-08
a33	0.005350904	0.99386203	0.0007738105	1.1109023e-05	2.110418e-06
a20	0.0010748751	0.90439576	0.07559854	0.018863754	6.706767e-05
a31	0.0008669009	0.90990394	0.05412752	0.034795027	0.0003066233
a7	0.0059372624	0.966064	0.015161186	0.0030434143	0.009794139
a31	0.0082299225	0.4024961	0.3998591	0.18799938	0.0014155565
a11	0.005225104	0.7775328	0.034481212	0.048187606	0.1345733
a31	0.0151503505	0.15330788	0.4209236	0.40767676	0.0029413882
a13	0.0062958803	0.4442859	0.035369184	0.1764874	0.3375616
a18	0.017314618	0.10242281	0.3609215	0.5139657	0.005375366
a31	0.008300976	0.13777488	0.20155375	0.6428246	0.00954584
</S>	0.004384559	0.33224973	0.017188605	0.09767267	0.5485044
