 	il	ladro	poteva	entrare	da	qui	</S>
a39	0.9909411	0.008508209	3.6195488e-05	0.00046203946	3.1789757e-05	2.7746578e-06	1.8035846e-05
a46	0.9923396	0.006605413	0.00012221021	0.00091350626	2.5571242e-06	9.0474205e-06	7.655086e-06
a31	0.9981102	0.0017372885	1.9609692e-05	0.000100703546	1.084867e-06	2.4054543e-05	7.157672e-06
a35	0.98427814	0.013452145	0.0012829242	0.0009554705	9.781101e-06	1.845158e-05	3.1860845e-06
a31	0.99330974	0.0066800383	9.194698e-06	7.750132e-07	4.3363805e-08	1.6285304e-07	1.1994999e-08
a20	0.9910212	0.008945175	2.7007336e-05	5.477426e-06	5.145892e-07	7.248895e-07	2.705531e-09
a31	0.9992756	0.00072335347	1.0957878e-06	3.6029103e-08	3.8385988e-09	2.0525242e-08	2.1022585e-10
a39	0.99986315	0.00013568433	8.3326444e-07	3.4363376e-07	2.8479248e-09	9.371226e-09	5.523152e-11
a3	0.9999343	5.2627594e-05	3.0925082e-06	5.3369986e-06	3.540275e-07	4.0215227e-06	6.03979e-08
a31	0.9998857	7.604697e-05	1.429221e-05	8.171727e-06	4.456315e-07	1.5002496e-05	2.2928383e-07
a7	0.9933634	0.00076542044	0.000111489106	0.005666346	1.6067901e-05	5.915932e-05	1.8118857e-05
a10	0.8019555	0.00040515952	0.0008538363	0.09760095	0.004626341	0.091271125	0.0032871375
a31	0.9669515	0.00021508598	0.00037393346	0.021111673	0.00035905658	0.010163824	0.0008250205
a11	0.97678125	0.008963986	0.0033029572	0.005551987	0.0002743694	0.0020990989	0.0030262761
a18	0.15965943	0.00013308879	0.0013235713	0.70969325	0.025390454	0.09571707	0.008083198
a28	0.43154556	0.0009859724	0.0056915847	0.36960834	0.039301272	0.14454553	0.008321773
a31	0.81350005	0.0005910692	0.004292612	0.1313491	0.0075672586	0.03927237	0.0034275553
a11	0.920884	0.0045281416	0.0035148158	0.0419632	0.0041199485	0.010590772	0.01439904
a13	0.44636515	0.003525322	0.09309016	0.1536565	0.082630455	0.21503979	0.0056926394
a31	0.33428368	0.0037559473	0.08991428	0.15722628	0.08500451	0.31630906	0.013506249
a20	0.14970054	0.0040767794	0.007417647	0.2523631	0.02395702	0.09969106	0.46279392
a31	0.18692024	0.008744494	0.39763492	0.032253996	0.062419653	0.30400568	0.008021048
a8	0.004577793	0.0007333002	0.0018524148	0.07795697	0.015082844	0.12795046	0.7718462
</S>	0.041521665	0.0069511733	0.44830358	0.010940884	0.023157168	0.45599392	0.013131591
