 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.92493016	0.009208999	0.053604186	0.011887352	3.543993e-06	2.7266796e-07	0.00036550482
a31	0.53289944	0.0036422012	0.46265218	0.0007807272	3.3927552e-07	1.0409584e-09	2.5160502e-05
a6	0.009724514	0.024668453	0.96475685	0.0008471678	2.700942e-06	4.1699866e-09	3.1201068e-07
a31	0.9831957	0.016463434	0.00028295233	5.7633297e-05	6.498851e-08	2.3938987e-10	1.5169073e-07
a37	0.92947054	0.06616723	0.0031352805	0.0012250438	1.9714848e-06	3.1606553e-10	3.0734273e-09
a31	0.995771	0.0042265593	1.7031595e-06	7.343446e-07	3.368095e-09	6.201962e-11	1.8386771e-09
a17	0.99496174	0.004891853	7.571095e-05	7.051641e-05	1.1453122e-07	5.923978e-12	2.8846628e-11
a31	0.99982566	0.00017218984	1.0336638e-06	1.0971734e-06	1.8681442e-08	1.5145963e-11	2.4719993e-10
a17	0.99508435	0.0012042433	0.002913206	0.0007922272	5.9514155e-06	6.083207e-10	2.4689147e-08
a31	0.9976634	0.00018043445	0.0016022582	0.00051146187	4.1200496e-05	1.572508e-08	1.3353099e-06
a8	0.9033117	0.0013176622	0.058759324	0.035860617	0.0006840983	2.4671272e-07	6.629961e-05
a31	0.67843217	0.00087248546	0.25920832	0.05879353	0.00053279876	4.841992e-07	0.0021602318
a28	0.42713496	0.0017635876	0.18854356	0.37143624	0.0072135446	1.8904084e-05	0.0038892007
a0	0.02064794	0.00021587561	0.9601841	0.01348256	0.00044435312	1.561633e-06	0.0050235614
a41	0.28794542	0.0010586728	0.6414452	0.055927068	0.001933576	1.025244e-05	0.011679708
a39	0.33638567	0.002038063	0.5353991	0.102494426	0.003325218	5.0904975e-05	0.020306606
a31	0.35774043	0.0028278849	0.45531827	0.15704975	0.006276995	0.00010647174	0.020680165
a39	0.35825804	0.0007278307	0.010380973	0.6006752	0.029125437	0.00022363832	0.0006088687
a31	0.31862956	0.005993433	0.4752894	0.12807634	0.030995747	0.0002097139	0.040805746
a18	0.08319786	0.002290726	0.04886013	0.8184268	0.0422977	0.00034685165	0.0045799115
a31	0.22150914	0.021688122	0.52098626	0.13266797	0.061137334	0.00097145856	0.041039675
a18	0.029458325	0.005887301	0.14403862	0.7694146	0.026276471	0.0006844728	0.024240194
a31	0.1941736	0.053044487	0.4799559	0.1268837	0.1114856	0.0027716616	0.031685095
a39	0.018730145	0.009084088	0.2106639	0.6768804	0.022951236	0.0010781363	0.06061204
a41	0.19639876	0.103073195	0.38478982	0.115348026	0.17267406	0.004778385	0.022937713
a8	0.099848494	0.07761384	0.40032062	0.2099324	0.13998109	0.0076497993	0.06465371
a31	0.05836824	0.07417346	0.36037853	0.22572783	0.12501675	0.010262195	0.14607298
a46	0.015958967	0.0033745156	0.1422794	0.7242405	0.04517102	0.0018040101	0.06717163
a8	0.15432687	0.14993477	0.27882108	0.123347096	0.24542175	0.01206187	0.036086585
</S>	0.03369005	0.04394166	0.23867111	0.236795	0.38512713	0.0033681716	0.05840693
