 	ho	cosa	a	fare	</S>
a23	0.020301722	0.030066157	0.62832993	0.12359294	0.1977092
a17	0.041023627	0.3544221	0.5983493	0.003680509	0.0025245375
a31	0.23009928	0.16923171	0.43660787	0.08160937	0.082451805
a8	0.06532692	0.20699488	0.20630006	0.51181084	0.009567244
a31	0.92145395	0.0018175495	0.016249813	0.040268008	0.020210717
a13	0.76635665	0.024974296	0.0971837	0.10997419	0.0015111871
a24	0.07774677	0.0008130453	0.04045138	0.7106148	0.170374
a31	0.7245734	0.009501222	0.059531935	0.10918266	0.09721077
a13	0.48708534	0.02593721	0.26925766	0.20072286	0.016996952
a31	0.00043834222	0.00023368253	0.032699097	0.96228456	0.00434428
a18	0.007231462	0.005320199	0.2010518	0.607709	0.1786875
a0	0.002191873	0.0038942094	0.06537	0.9134735	0.015070444
a39	0.0006541569	0.0016153877	0.043852143	0.90025795	0.0536204
</S>	0.00040863518	0.0010160978	0.031222338	0.8060706	0.16128226
