 	il	morto	si	piange	</S>
a20	0.7616144	0.23532982	0.0016118446	0.0011481069	0.00029593453
a31	0.14457472	0.78408355	0.068700664	0.0026195245	2.1595737e-05
a18	0.004691604	0.83274436	0.09460387	0.06793737	2.2752049e-05
a15	0.91831505	0.081563026	0.00011806431	2.357037e-06	1.5335016e-06
a31	0.98890334	0.010402419	1.4481509e-05	0.00067842536	1.2404926e-06
a15	0.3576785	0.63975555	0.0022115486	0.00034825006	6.2143e-06
a31	0.9488639	0.02620696	0.00021682415	0.024699349	1.2877973e-05
a29	0.6569991	0.3335561	0.0053477944	0.0040965066	5.1059743e-07
a31	0.4855846	0.1827617	0.023172485	0.30843708	4.4089647e-05
a0	0.89263284	0.07829691	0.021523234	0.00753993	7.1740683e-06
a31	0.41114146	0.48572236	0.06178053	0.041325357	3.0210886e-05
a13	0.28706783	0.23748043	0.40920782	0.063178904	0.0030650294
a18	0.29441386	0.469072	0.19762093	0.03884531	4.7954625e-05
a41	0.2609067	0.34993228	0.35831746	0.030811327	3.2171632e-05
a31	0.07430744	0.12621078	0.7892531	0.010181381	4.737038e-05
a18	0.073054016	0.47174484	0.31980792	0.11434073	0.021052541
a31	0.094413	0.11241623	0.7732387	0.019777352	0.00015465754
a46	0.06007715	0.15640907	0.56598717	0.14547859	0.07204804
a31	0.12534869	0.08645047	0.7442003	0.04345535	0.00054517074
a0	0.050973363	0.06852704	0.5381425	0.15582639	0.18653072
a31	0.1462931	0.07470937	0.7202719	0.057824656	0.0009009805
</S>	0.042028368	0.042323597	0.48404053	0.13204655	0.29956093
