 	mi	sono	vestito	</S>
a39	0.681871	0.3119199	0.0015409357	0.0046682134
a11	0.9988102	0.0011887973	9.889252e-07	1.2903041e-07
a13	0.99836963	0.0016174435	1.2832619e-05	1.7201296e-07
a18	0.9988875	0.0010825886	2.9282859e-05	6.350689e-07
a31	0.99923337	0.0006020415	0.00016065782	3.9674737e-06
a37	0.98091656	0.0021859254	0.01638142	0.00051605207
a15	0.97697824	0.013449282	0.0013508947	0.008221589
a31	0.5099705	0.009627652	0.1297429	0.35065892
a46	0.29309693	0.0009843002	0.005867788	0.700051
a31	0.009609422	0.00023521691	0.51445603	0.47569934
a20	0.004731951	0.00015102135	0.018989095	0.9761279
a31	0.11984218	0.0006951303	0.6845002	0.19496247
</S>	0.0056458353	0.0028546944	0.044929005	0.9465705
