 	non	mi	aspetti	non	vengo	</S>
a33	0.030109242	0.0075005814	0.64034176	0.2833849	0.013178263	0.025485225
a31	0.0014231078	0.016321974	0.9816711	0.00056907	2.9670564e-06	1.1767762e-05
a37	0.0005006676	0.017473543	0.97626716	0.0056461957	0.00010928022	3.131422e-06
a35	0.0010047319	0.0013113174	0.9930743	0.0025623937	0.00075210404	0.0012951067
a31	0.018210826	0.0008072255	0.9582252	0.008008581	0.007167534	0.0075805825
a7	0.10629283	0.002501186	0.7547981	0.039972164	0.095336564	0.0010992038
a18	0.039693788	0.0002248507	0.08287698	0.014253525	0.8197427	0.043208156
a24	0.12398283	0.0011747167	0.06249046	0.013620282	0.7640526	0.034679085
a31	0.17062902	0.0080548655	0.056623925	0.01966094	0.68379796	0.06123331
a20	0.19745234	0.08477397	0.04853914	0.07900413	0.42888126	0.16134919
a8	0.004078569	0.006183072	0.008859714	0.012609978	0.9641023	0.0041663754
a31	0.0051989327	0.03076599	0.13581227	0.026749551	0.76785547	0.033617817
</S>	0.00336227	0.014917388	0.0388068	0.011112478	0.15455437	0.7772467
