 	nella	pasta	metti	sale	vuole	il	sale	</S>
a28	0.032210696	0.014871626	0.58938587	0.30978036	0.0014180492	0.04093627	0.010094654	0.0013024851
a31	0.009127968	0.36486793	0.60951424	0.016328627	7.236324e-05	3.731383e-05	4.5522862e-05	6.029738e-06
a7	0.0005667313	0.04728769	0.9500043	0.0020042956	2.7835273e-05	1.7816647e-05	8.9774905e-05	1.517584e-06
a46	0.0028358358	0.001582689	0.9682022	0.0020226412	3.6481586e-06	0.0006069417	0.0239474	0.0007985961
a10	7.905869e-05	2.8792306e-07	0.0031292886	0.00031033924	9.440404e-08	0.0030047	0.99228233	0.0011938456
a14	4.9615734e-05	4.723601e-07	0.0017381087	0.00053429103	1.3605916e-07	0.007572217	0.9899183	0.00018679748
a31	0.05962822	0.00020603336	0.39573678	0.0025995043	4.098752e-06	0.0020970334	0.5393402	0.0003880554
a0	0.016512768	0.004375824	0.8958593	0.0029592423	7.3129154e-06	8.290125e-05	0.025833678	0.054368958
a20	0.03177021	0.004689428	0.089189194	0.019273704	0.00013037583	0.062253073	0.78988093	0.0028131858
a31	0.082904205	0.025111431	0.30591765	0.014374141	0.00021834714	0.04784248	0.5178717	0.0057600457
a10	0.00045973918	7.278616e-05	0.0210411	0.011850223	1.8400942e-05	0.03041735	0.93033516	0.005805192
a0	0.24729536	0.25175443	0.405823	0.028928455	0.0015415117	0.011508685	0.052306566	0.0008420017
a18	0.008489348	0.009557856	0.028919673	0.014065975	0.0003271763	0.07618534	0.8523412	0.010113474
a17	0.013483254	0.015239935	0.021341369	0.015856208	0.000649684	0.069293216	0.84980017	0.014336214
a8	0.009363032	0.01021241	0.013175306	0.011225994	0.00081921124	0.07268252	0.8728467	0.00967474
</S>	0.0008797194	0.0018686292	0.009291493	0.0061083063	0.0006689856	0.07362451	0.8998517	0.007706707
