 	venne	scritto	</S>
a31	0.9918642	0.00050005864	0.0076358016
a28	0.89510125	0.104891285	7.483141e-06
a8	0.99968135	7.07387e-05	0.0002479339
a31	0.99984133	3.3142935e-06	0.00015525089
a20	0.99979895	0.00010820139	9.2804636e-05
a31	0.9985318	2.9658726e-05	0.0014385824
a13	0.9281538	0.0040226732	0.067823425
a29	0.9907251	5.1591578e-05	0.009223254
a39	0.74310607	0.0031562494	0.2537376
a31	0.112457514	0.0022343337	0.88530815
a35	0.0010938725	0.00015589273	0.9987502
a31	0.27414057	0.0027184717	0.7231409
</S>	0.002471997	0.0009838796	0.99654406
