 	non	ho	cosa	è	da	mangiare	</S>
a31	0.21683122	0.7235832	0.05548611	2.7854264e-07	0.0018721615	1.170783e-06	0.0022258372
a8	0.05277542	0.934759	0.012353619	2.5397169e-08	0.00011197057	1.11353225e-10	4.1968562e-08
a31	0.8458602	0.15061662	0.0032588507	3.022412e-08	0.0002583619	6.870693e-10	5.9654244e-06
a37	0.4381768	0.52074873	0.034046594	5.9226517e-07	0.007023711	2.049029e-08	3.515397e-06
a20	0.932958	0.06579834	0.0012015539	1.0413978e-07	2.7713806e-05	5.1133178e-09	1.4201841e-05
a31	0.9943144	0.005641526	3.5344594e-05	6.7834826e-08	8.161805e-06	4.1522137e-09	4.2107735e-07
a17	0.9956955	0.004044303	0.000101859536	8.674899e-07	0.0001571533	2.3878326e-07	1.0834284e-07
a20	0.98499644	0.011920298	0.0009526953	3.646336e-05	0.0019997202	5.0648556e-05	4.3632772e-05
a31	0.9453722	0.04547742	0.003333206	0.00026050885	0.004536146	0.00091997406	0.00010046825
a39	0.5658757	0.073141955	0.012665312	0.0003247873	0.3102574	0.0045942185	0.03314061
a35	0.19346407	0.071068935	0.013631909	0.00017657503	0.6821899	0.031214181	0.008254407
a39	0.106653176	0.03152277	0.0038769234	0.0002106899	0.82530653	0.015329882	0.01710004
a46	0.03829438	0.010987806	0.0019732062	0.00015968649	0.85739607	0.02337043	0.067818366
a35	0.013127801	0.006839418	0.0015214797	0.00013390981	0.84781164	0.026883852	0.10368192
a31	0.0043397415	0.0043491055	0.0011380744	9.943472e-05	0.78546387	0.0313212	0.17328855
</S>	0.01129308	0.057189543	0.04305677	0.00388897	0.3034611	0.02432436	0.5567862
