 	ho	scritto	una	lettera	al	mio	fratello	</S>
a10	0.8102482	0.088418104	0.0015869251	0.020121919	0.017093984	0.056118466	0.0027735468	0.0036388808
a31	0.5549899	0.40508005	0.0014183439	0.034721162	0.0022878926	0.0003796358	0.00057391886	0.0005491497
a37	0.6475862	0.29269862	0.0013649943	0.05750744	0.0007243417	7.071855e-05	2.7355041e-05	2.0306066e-05
a31	0.97614336	0.003145026	7.805751e-05	0.012102686	0.0013539398	0.0009801409	0.0035239826	0.0026727456
a20	0.9783066	0.0042625093	9.36049e-05	0.01362769	0.0020882671	0.0006302573	0.0004148461	0.00057621056
a31	0.09598691	0.00015316375	0.00035945856	0.15394555	0.052603964	0.15390389	0.52897716	0.014069856
a20	0.6764045	0.0071122837	0.0018398032	0.10046791	0.042320058	0.0341571	0.121774316	0.015924092
a13	0.00013964261	3.380655e-06	1.2506916e-05	0.0031535511	0.00831328	0.18579268	0.802389	0.0001959731
a20	0.0018973588	3.2530188e-06	9.086032e-06	0.006274324	0.011948901	0.13812758	0.84105235	0.00068711396
a24	0.0035808056	7.2696525e-06	5.2465886e-05	0.07205177	0.045947243	0.118861794	0.75366443	0.00583419
a31	0.007421621	1.9254854e-05	0.00028108072	0.38323984	0.22836922	0.09010075	0.28795022	0.0026179561
a0	0.0009873646	9.686491e-06	4.869401e-06	0.15947914	0.19528253	0.28266454	0.3524454	0.0091265105
a35	0.0023852827	2.7574217e-05	0.0025949199	0.5808757	0.3013595	0.03627635	0.07592846	0.00055226695
a0	0.00042607222	3.5633344e-05	0.0010102673	0.73502827	0.20648149	0.013587095	0.04205132	0.0013798975
a31	0.00020457154	2.5385138e-05	0.0004303249	0.7380762	0.18610385	0.01571517	0.056808364	0.0026361125
a11	0.0022768916	0.00041682785	0.00055061537	0.49046996	0.15908854	0.14189154	0.12996657	0.07533913
a20	0.002448326	0.00039708675	0.012821474	0.36328757	0.12408496	0.05655104	0.42463103	0.015778461
a41	0.0010313534	0.00038589686	0.007844884	0.45360255	0.121688046	0.053058345	0.34565407	0.016734939
a10	0.00044251743	0.00020783815	0.004046547	0.46567842	0.11352564	0.051059797	0.3427916	0.022247674
</S>	0.00078685017	0.00036117338	0.005024834	0.13507079	0.067465715	0.07889384	0.62196535	0.090431534
