 	il	abito	della	sposa	corassi	si	chiama	la	sposa	ee	ee	vuole	bianco	</S>
a31	0.25871792	0.32622927	0.39871576	0.015347721	0.00014469428	4.2673924e-05	2.07728e-08	5.962398e-07	4.918737e-07	0.00033758738	0.00046317757	1.4148037e-10	1.3293014e-07	8.006551e-09
a23	0.013350822	0.8986565	0.079765245	2.2802973e-07	1.011956e-05	6.93122e-08	3.968097e-09	8.063028e-05	2.5733482e-09	2.3403023e-05	0.00811274	2.7441205e-09	1.2379661e-07	3.2160884e-12
a31	0.0032530632	0.87777156	0.11805127	0.00022782123	2.5817151e-08	1.4550311e-07	8.939398e-11	3.2062914e-07	3.238108e-09	5.7710113e-05	0.0006380879	2.8224686e-10	1.0784504e-12	1.4415634e-12
a7	0.002536376	0.90493655	0.092011824	5.024908e-05	3.9689935e-06	9.3492116e-07	6.6174145e-08	2.718448e-06	4.116806e-09	7.644327e-05	0.00038083972	4.652912e-09	1.0467389e-09	2.7635672e-12
a10	0.017009463	0.86589366	0.11674516	0.00017270412	2.4793563e-08	1.4822572e-08	1.2574511e-10	2.8473874e-08	8.656882e-10	4.037977e-05	0.00013863634	4.681424e-11	1.520858e-13	1.1083058e-12
a38	0.05173337	0.6494485	0.2857963	0.0017447682	1.2335864e-08	3.038829e-08	1.8594943e-09	1.9399195e-06	3.4629946e-07	0.0010806122	0.010194153	8.734395e-10	1.1951295e-11	6.429937e-12
a10	0.026123906	0.7824663	0.18474281	0.005788235	1.6669676e-09	6.437323e-09	6.7059998e-09	2.172628e-08	6.801221e-08	0.00028191222	0.00059675466	1.0549207e-09	8.773526e-12	2.4853583e-12
a11	0.3060012	0.67534834	0.011723914	0.006531371	4.8602168e-08	2.6882063e-08	5.111185e-08	1.4756117e-07	1.0809555e-06	0.00022969364	0.00016406934	3.557846e-08	1.5111018e-09	3.0720267e-11
a31	0.48628163	0.48634133	0.017095154	0.010215245	4.0689156e-07	1.3089297e-07	2.2699253e-07	4.371202e-08	2.119711e-07	2.1788977e-05	4.354902e-05	2.9351747e-07	2.4701023e-09	7.014777e-11
a13	0.044510577	0.89408773	0.02843258	0.029374901	1.06283466e-07	1.2226778e-06	6.1585816e-08	3.567245e-06	1.3914639e-05	0.0018894748	0.0016851607	7.3674596e-07	8.9931245e-09	1.1056306e-09
a31	0.01219646	0.9706661	0.015638119	0.0014892404	1.160081e-06	4.268546e-07	3.3192606e-08	1.5869375e-08	8.162768e-08	1.4261267e-06	6.6612984e-06	1.9946395e-07	2.3189505e-08	2.1474189e-10
a0	0.023765959	0.9497929	0.013915682	0.011691072	3.3079257e-05	2.7728424e-06	4.7562385e-06	3.850707e-07	7.5170447e-06	0.000385959	0.0003993352	6.798189e-07	2.047352e-08	8.8477026e-10
a31	0.02104104	0.94914776	0.024844075	0.0038156707	5.917256e-06	4.6513514e-06	2.4679569e-08	2.4381836e-06	7.7862394e-05	0.00061389705	0.0004424198	1.0047053e-07	4.0171335e-06	9.3137416e-08
a39	0.10644838	0.5951443	0.17877877	0.05650908	0.0013277753	3.929681e-05	2.3181869e-05	5.713915e-06	0.000112436435	0.042362273	0.019245435	1.3819739e-06	1.7959684e-06	2.0528341e-07
a31	0.14729321	0.5886561	0.18330045	0.03176072	0.0005110761	9.4584844e-05	8.8944694e-07	0.000114328766	0.0028138075	0.033753265	0.011069712	3.400088e-06	0.00061390986	1.4500907e-05
a17	0.0893974	0.07213392	0.41716054	0.05920659	0.002709707	0.00011347615	3.8507595e-05	4.262581e-05	0.00066765223	0.31029904	0.0481584	6.0693396e-06	5.5694145e-05	1.038447e-05
a20	0.3802744	0.14619681	0.298759	0.036027852	0.007674329	0.00018764033	1.8869556e-05	0.00022370159	0.0058018547	0.10095169	0.018554483	2.8737317e-05	0.0052273166	7.326653e-05
a21	0.42550975	0.22977263	0.16798185	0.018680712	0.0031368358	4.4488752e-05	2.8666684e-05	8.72792e-05	0.00501748	0.1247759	0.023366751	7.96898e-06	0.0015768579	1.2859301e-05
a31	0.42117375	0.20073694	0.17786147	0.019556794	0.0039550876	4.0812134e-05	6.170429e-05	4.8387563e-05	0.0036429586	0.1456884	0.025791151	1.033277e-05	0.0014166787	1.5541767e-05
a18	0.04264068	0.09026413	0.52959675	0.051633377	0.0032695252	0.00018449553	5.4137086e-05	2.7928178e-05	0.00025820342	0.24473794	0.037222553	2.134473e-05	5.9708036e-05	2.9264795e-05
a46	0.61491835	0.028402204	0.1997915	0.013288495	0.045962214	0.00020005394	0.00017955274	0.00018458521	0.00433461	0.07142929	0.007641806	0.00013307846	0.013388732	0.00014555664
a31	0.61878765	0.020530365	0.108249195	0.0074340105	0.020184217	0.00012121281	0.00014050504	0.00025133442	0.010496109	0.19414389	0.014785619	4.4961544e-05	0.004743092	8.790568e-05
a38	0.02337294	0.0764421	0.51180595	0.0475962	0.0018578786	0.00052937015	8.083891e-05	0.00014347902	0.0014856482	0.29493648	0.040955547	6.373513e-05	0.0004650902	0.0002647766
a3	0.6221048	0.010909661	0.13026352	0.0077387495	0.07755037	0.00028809757	0.00075995375	0.0003794907	0.009329124	0.09340248	0.008296744	0.0004240503	0.03814934	0.00040372656
a21	0.58680373	0.010395249	0.0920275	0.0062097562	0.031806797	0.0001495097	0.00033156763	0.0003053979	0.012158032	0.22981536	0.017573457	0.00011366831	0.012141231	0.00016870291
a8	0.52153784	0.012937565	0.11533602	0.007868297	0.020797769	0.00015724644	0.0003497096	0.00023255814	0.012272474	0.2736944	0.020435512	0.00010680798	0.013948547	0.00032522398
a28	0.24664268	0.026246076	0.11902897	0.011438397	0.010977301	0.00071991823	0.00027378433	0.001428297	0.06154611	0.45885313	0.038029503	0.00031129722	0.023042163	0.0014624038
a31	0.5390003	0.010321783	0.109958515	0.008528772	0.02242979	0.00010265052	0.0003807911	9.97296e-05	0.006177111	0.26581618	0.024552826	8.6678476e-05	0.012194994	0.00034982935
a28	0.046797283	0.4203762	0.43969548	0.043466136	0.0023732325	0.0015639893	0.00010691077	0.0001374918	0.00097041985	0.033753105	0.009813782	0.00012989485	0.0005459825	0.00027013017
a31	0.62505573	0.008566515	0.085978575	0.005095347	0.1351832	0.00036161183	0.0021708177	0.00041717596	0.007937553	0.05723607	0.005992334	0.0014319468	0.06396738	0.0006057205
a3	0.122871086	0.17658103	0.34125194	0.07749294	0.0061084596	0.0062590693	0.000301307	0.0020229693	0.020534758	0.17305338	0.055647794	0.0003616967	0.0099276025	0.0075859437
a30	0.4526675	0.009339001	0.060802188	0.005390997	0.18703263	0.00071712135	0.010302286	0.0010268645	0.013989665	0.039492548	0.007187951	0.009068978	0.2016402	0.001342061
a35	0.55861473	0.008714673	0.07251483	0.0044929506	0.103567354	0.00033574016	0.0031503811	0.0006317748	0.012500383	0.08289956	0.010006106	0.0019012925	0.13963704	0.0010331736
