 	essendosi	vestito	</S>
a46	0.9877627	0.002815957	0.009421347
a31	0.99996614	3.1467007e-05	2.3664306e-06
a18	0.9999995	4.7302305e-07	1.5229615e-09
a31	0.87272507	0.10847696	0.01879797
a20	0.9814765	0.01743809	0.0010854611
a46	0.20938939	0.6731782	0.11743246
a20	0.11951707	0.4800339	0.40044904
a31	0.0710208	0.3361687	0.5928105
a0	0.09794814	0.034909718	0.86714214
a46	0.24332015	0.62444437	0.1322355
a35	0.41047496	0.5453609	0.044164125
a46	0.38185906	0.59501916	0.02312177
a24	0.2169417	0.7719182	0.011140083
a46	0.08525184	0.9059109	0.008837274
a24	0.027074317	0.8810155	0.09191021
a31	0.008330073	0.35116822	0.64050174
</S>	0.00020069224	0.0060182186	0.99378115
